t	f_px	dist_m	gsd_cm	obj8px_cm	status
0.0	7081	70	1.0	8	ok
2.0	7081	70	1.0	8	ok
4.0	7081	69	1.0	8	ok
6.0	7081	53	0.7	6	ok
8.0	7081	53	0.7	6	ok
10.0	7081	53	0.7	6	ok
12.0	7081	55	0.8	6	ok
14.0	7081	56	0.8	6	ok
16.0	7081	56	0.8	6	ok
18.0	7030	55	0.8	6	ok
20.0	7081	54	0.8	6	ok
22.0	7081	53	0.7	6	ok
24.0	7133	53	0.7	6	ok
26.0	7166	52	0.7	6	ok
28.0	7133	52	0.7	6	ok
30.0	7133	51	0.7	6	ok
32.0	7120	51	0.7	6	ok
34.0	7069	50	0.7	6	ok
36.0	7108	50	0.7	6	ok
38.0	7133	49	0.7	6	ok
40.0	7108	49	0.7	5	ok
42.0	7108	48	0.7	5	ok
44.0	7154	48	0.7	5	ok
46.0	7200	48	0.7	5	ok
48.0	7200	47	0.7	5	ok
50.0	7200	47	0.7	5	ok
52.0	7154	47	0.7	5	ok
54.0	7154	47	0.7	5	ok
56.0	7154	46	0.6	5	ok
58.0	7238	46	0.6	5	ok
60.0	7276	46	0.6	5	ok
62.0	7335	46	0.6	5	ok
64.0	7335	45	0.6	5	ok
66.0	7335	45	0.6	5	ok
68.0	7394	45	0.6	5	ok
70.0	7394	45	0.6	5	ok
72.0	7394	46	0.6	5	ok
74.0	7401	46	0.6	5	ok
76.0	7394	46	0.6	5	ok
78.0	7394	45	0.6	5	ok
80.0	7433	45	0.6	5	ok
82.0	7394	45	0.6	5	ok
84.0	7393	45	0.6	5	ok
86.0	7392	45	0.6	5	ok
88.0	7392	45	0.6	5	ok
90.0	7392	45	0.6	5	ok
92.0	7393	45	0.6	5	ok
94.0	7392	45	0.6	5	ok
96.0	7334	45	0.6	5	ok
98.0	7393	56	0.8	6	ok
100.0	7394	55	0.7	6	ok
102.0	7487	55	0.7	6	ok
104.0	7487	55	0.7	6	ok
106.0	7583	55	0.7	6	ok
108.0	7575	55	0.7	6	ok
110.0	7575	55	0.7	6	ok
112.0	7575	55	0.7	6	ok
114.0	7575	54	0.7	6	ok
116.0	7575	53	0.7	6	ok
118.0	7567	52	0.7	5	ok
120.0	7567	51	0.7	5	ok
122.0	7639	50	0.7	5	ok
124.0	7639	50	0.7	5	ok
126.0	7567	49	0.6	5	ok
128.0	7578	48	0.6	5	ok
130.0	7567	48	0.6	5	ok
132.0	7578	48	0.6	5	ok
134.0	7632	48	0.6	5	ok
136.0	7692	47	0.6	5	ok
138.0	7632	47	0.6	5	ok
140.0	7578	47	0.6	5	ok
142.0	7578	46	0.6	5	ok
144.0	7578	46	0.6	5	ok
146.0	7497	46	0.6	5	ok
148.0	7228	45	0.6	5	ok
150.0	7427	45	0.6	5	ok
152.0	7427	45	0.6	5	ok
154.0	7427	45	0.6	5	ok
156.0	7427	45	0.6	5	ok
158.0	7427	46	0.6	5	ok
160.0	7427	52	0.7	6	ok
162.0	7228	52	0.7	6	ok
164.0	7228	52	0.7	6	ok
166.0	7427	53	0.7	6	ok
168.0	7029	52	0.7	6	ok
170.0	7427	51	0.7	6	ok
172.0	7138	51	0.7	6	ok
174.0	6849	50	0.7	6	ok
176.0	6771	50	0.7	6	ok
178.0	6849	50	0.7	6	ok
180.0	6771	49	0.7	6	ok
182.0	6771	49	0.7	6	ok
184.0	6771	49	0.7	6	ok
186.0	6849	49	0.7	6	ok
188.0	7522	49	0.7	5	ok
190.0	6849	50	0.7	6	ok
192.0	6849	50	0.7	6	ok
194.0	6849	50	0.7	6	ok
196.0	6849	50	0.7	6	ok
198.0	9599	50	0.5	4	ok
200.0	9599	50	0.5	4	ok
202.0	12349	50	0.4	3	ok
204.0	12349	49	0.4	3	ok
206.0	12349	49	0.4	3	ok
208.0					no_focal
210.0					no_focal
212.0					no_focal
214.0	3090	49	1.6	13	ok
216.0	3090	49	1.6	13	ok
218.0	2611	49	1.9	15	ok
220.0	3090	49	1.6	13	ok
222.0	3090	49	1.6	13	ok
224.0	3090	49	1.6	13	ok
226.0	3090	49	1.6	13	ok
228.0	3090	49	1.6	13	ok
230.0	3090	2412	78.1	625	ok
232.0	3090	56	1.8	14	ok
234.0	3090	2356	76.2	610	ok
236.0	3090	2356	76.2	610	ok
238.0	2611	82	3.1	25	ok
240.0	2611	57	2.2	17	ok
