t	f_px	dist_m	gsd_cm	obj8px_cm	status
0.0	3964	64	1.6	13	ok
2.0	3964	64	1.6	13	ok
4.0	3964	65	1.6	13	ok
6.0	3964	64	1.6	13	ok
8.0	3964	90	2.3	18	ok
10.0	3964	117	2.9	24	ok
12.0	3964	117	2.9	24	ok
14.0	5752	116	2.0	16	ok
16.0	5752	116	2.0	16	ok
18.0	5752	116	2.0	16	ok
20.0	7539	116	1.5	12	ok
22.0	7539	116	1.5	12	ok
24.0	7539	116	1.5	12	ok
26.0	7539	117	1.5	12	ok
28.0	10543	118	1.1	9	ok
30.0	13547	117	0.9	7	ok
32.0	13062	114	0.9	7	ok
34.0	13547	113	0.8	7	ok
36.0	13547	111	0.8	7	ok
38.0	13547	108	0.8	6	ok
40.0	13864	106	0.8	6	ok
42.0	13864	106	0.8	6	ok
44.0	13864	107	0.8	6	ok
46.0	13864	105	0.8	6	ok
48.0	13864	103	0.7	6	ok
50.0	13864	101	0.7	6	ok
52.0	13864	104	0.8	6	ok
54.0	13547	105	0.8	6	ok
56.0	14332	105	0.7	6	ok
58.0	13547	105	0.8	6	ok
60.0	12576	101	0.8	6	ok
62.0	12576	101	0.8	6	ok
64.0	12576	101	0.8	6	ok
66.0	12120	100	0.8	7	ok
68.0	12120	97	0.8	6	ok
70.0	12120	97	0.8	6	ok
72.0	13085	97	0.7	6	ok
74.0	13085	95	0.7	6	ok
76.0	13085	92	0.7	6	ok
78.0	13085	91	0.7	6	ok
80.0	11663	93	0.8	6	ok
82.0	11663	93	0.8	6	ok
84.0	11663	93	0.8	6	ok
86.0	13085	91	0.7	6	ok
88.0	13085	90	0.7	6	ok
90.0	11663	90	0.8	6	ok
92.0					no_focal
94.0					no_focal
96.0	10397	88	0.8	7	ok
98.0					no_focal
100.0	10397	87	0.8	7	ok
102.0	10397	86	0.8	7	ok
104.0	10397	84	0.8	6	ok
106.0	10977	84	0.8	6	ok
108.0	10977	84	0.8	6	ok
110.0	10977	92	0.8	7	ok
112.0	7448	108	1.4	12	ok
114.0	7448	108	1.4	12	ok
116.0	7448	108	1.4	12	ok
118.0	7448	106	1.4	11	ok
120.0	7448	102	1.4	11	ok
122.0	7448	99	1.3	11	ok
124.0	7448	97	1.3	10	ok
126.0					no_focal
128.0					no_focal
130.0					no_focal
132.0					no_focal
134.0					no_focal
136.0					no_focal
138.0					no_focal
140.0					no_focal
142.0					no_focal
144.0					no_focal
146.0					no_focal
148.0					no_focal
150.0					no_focal
152.0					no_focal
154.0					no_focal
156.0					no_focal
158.0					no_focal
160.0					no_focal
162.0					no_focal
164.0					no_focal
166.0					no_focal
168.0					no_focal
170.0					no_focal
172.0	6046	61	1.0	8	ok
174.0	6046	61	1.0	8	ok
176.0	6046	60	1.0	8	ok
178.0	6046	59	1.0	8	ok
180.0	6167	58	0.9	8	ok
182.0	6167	58	0.9	7	ok
184.0	6167	57	0.9	7	ok
186.0	6288	56	0.9	7	ok
188.0	9575	56	0.6	5	ok
190.0	9575	55	0.6	5	ok
192.0					no_focal
194.0					no_focal
196.0					no_focal
198.0					no_focal
200.0					no_focal
202.0					no_focal
204.0					no_focal
206.0	6288	67	1.1	8	ok
208.0	9454	72	0.8	6	ok
210.0	12862	72	0.6	5	ok
212.0	13996	73	0.5	4	ok
214.0	13996	73	0.5	4	ok
216.0	13996	74	0.5	4	ok
218.0	13996	74	0.5	4	ok
220.0	12862	73	0.6	5	ok
222.0	12862	71	0.6	4	ok
224.0	12862	70	0.5	4	ok
