t	f_px	dist_m	gsd_cm	obj8px_cm	status
0.0	1470	96	6.5	52	ok
2.0	1470	72	4.9	39	ok
4.0	1485	71	4.8	38	ok
6.0	1500	78	5.2	42	ok
8.0	1485	110	7.4	59	ok
10.0	1485	76	5.1	41	ok
12.0	1485	83	5.6	45	ok
14.0	1485	142	9.6	76	ok
16.0	1485	173	11.6	93	ok
18.0	1485	197	13.3	106	ok
20.0	1485	242	16.3	130	ok
22.0	1485	316	21.3	170	ok
24.0	1500	202	13.5	108	ok
26.0	1430	178	12.4	100	ok
28.0	1430	179	12.5	100	ok
30.0	1500	203	13.5	108	ok
32.0	1500	234	15.6	125	ok
34.0	1500	251	16.7	134	ok
36.0	1500	269	17.9	144	ok
38.0	1500	296	19.7	158	ok
40.0	1500	306	20.4	163	ok
42.0	1500	333	22.2	177	ok
44.0					no_focal
46.0					no_focal
48.0					no_focal
50.0					no_focal
52.0					no_focal
54.0					no_focal
56.0					no_focal
58.0	1266	483	38.2	305	ok
60.0	1266	520	41.1	329	ok
62.0	1266	526	41.5	332	ok
64.0	1266	537	42.4	339	ok
66.0	1266	567	44.7	358	ok
68.0	1540	600	38.9	312	ok
70.0	1604	630	39.3	314	ok
72.0	1664	635	38.2	305	ok
74.0	1604	638	39.8	318	ok
76.0	1604	640	39.9	319	ok
78.0	1604	641	39.9	319	ok
80.0	1604	654	40.8	326	ok
82.0	1604	648	40.4	323	ok
84.0	1599	647	40.4	324	ok
86.0	1594	641	40.2	322	ok
88.0	1574	681	43.3	346	ok
90.0	1571	645	41.0	328	ok
92.0	1589	1021	64.3	514	ok
94.0	1589	1554	97.8	782	ok
96.0	1589	1793	112.9	903	ok
98.0	1591	1793	112.7	902	ok
100.0	1589	1793	112.9	903	ok
102.0	1589	1796	113.1	904	ok
104.0	1571	1850	117.7	942	ok
106.0	1571	2725	173.4	1388	ok
108.0	1554	3194	205.6	1645	ok
110.0	1535	3610	235.1	1881	ok
112.0	1535	3432	223.6	1789	ok
114.0	1534	3210	209.3	1674	ok
116.0	1499	3040	202.8	1623	ok
118.0	1464	2829	193.2	1546	ok
120.0	1452	2513	173.0	1384	ok
122.0	1464	2396	163.6	1309	ok
124.0	1464	1997	136.4	1091	ok
126.0	1499	1646	109.8	878	ok
128.0	1464	1429	97.6	781	ok
130.0	1452	1003	69.1	553	ok
132.0	1452	662	45.6	365	ok
134.0	1452	659	45.4	363	ok
136.0	1452	626	43.1	345	ok
138.0	1452	384	26.4	211	ok
140.0	1451	361	24.9	199	ok
142.0	1451	375	25.9	207	ok
144.0	1438	428	29.7	238	ok
146.0	1438	446	31.0	248	ok
148.0	1438	440	30.6	245	ok
150.0	1566	438	28.0	224	ok
152.0	1566	434	27.7	222	ok
154.0	1566	428	27.4	219	ok
156.0	1694	436	25.7	206	ok
158.0	1713	468	27.3	218	ok
160.0	1733	482	27.8	223	ok
162.0	1694	488	28.8	231	ok
164.0	1691	500	29.6	237	ok
166.0	1691	511	30.2	242	ok
168.0	1666	518	31.1	249	ok
170.0	1666	526	31.6	252	ok
172.0	1641	530	32.3	258	ok
174.0	1536	532	34.6	277	ok
176.0	1432	532	37.1	297	ok
178.0	1530	530	34.7	277	ok
180.0	1628	528	32.4	259	ok
182.0	1628	528	32.4	259	ok
184.0	1628	525	32.2	258	ok
186.0	1548	527	34.0	272	ok
188.0	1628	529	32.5	260	ok
190.0	1628	530	32.6	261	ok
192.0	1628	535	32.9	263	ok
194.0	1628	536	33.0	264	ok
196.0	1628	547	33.6	269	ok
198.0	1593	562	35.3	282	ok
200.0	1593	566	35.5	284	ok
202.0	1514	563	37.2	298	ok
204.0	1514	565	37.4	299	ok
206.0	1514	612	40.5	324	ok
208.0	1558	670	43.0	344	ok
210.0	1558	670	43.0	344	ok
212.0	1558	665	42.7	342	ok
214.0	1593	659	41.3	331	ok
216.0	1593	657	41.3	330	ok
218.0	1595	638	40.0	320	ok
220.0	1595	639	40.1	321	ok
222.0	1595	640	40.1	321	ok
224.0	1595	644	40.3	323	ok
226.0	1595	646	40.5	324	ok
228.0	1558	651	41.8	334	ok
230.0	1558	654	41.9	336	ok
232.0	1502	653	43.5	348	ok
234.0	1502	650	43.3	346	ok
236.0	1502	647	43.1	345	ok
238.0	1366	640	46.8	375	ok
240.0	1366	636	46.6	372	ok
242.0	1288	630	48.9	391	ok
244.0	1217	616	50.6	405	ok
246.0	1217	711	58.5	468	ok
248.0	1217	748	61.5	492	ok
250.0	1217	734	60.4	483	ok
252.0	1145	692	60.4	483	ok
254.0	1145	592	51.7	414	ok
256.0	1145	539	47.0	376	ok
258.0	1132	528	46.7	373	ok
260.0	1132	518	45.8	366	ok
262.0	1132	508	44.9	359	ok
264.0	1132	500	44.1	353	ok
266.0	1119	490	43.8	350	ok
268.0	1119	476	42.6	341	ok
270.0	1119	462	41.3	330	ok
272.0					no_focal
274.0					no_focal
276.0					no_focal
278.0					no_focal
280.0					no_focal
282.0					no_focal
284.0					no_focal
286.0	1181	372	31.5	252	ok
288.0	1181	357	30.3	242	ok
290.0	1181	342	29.0	232	ok
292.0					no_focal
294.0	1513	309	20.4	164	ok
296.0	1475	292	19.8	158	ok
298.0	1438	273	19.0	152	ok
300.0	1425	254	17.9	143	ok
302.0	1413	236	16.7	133	ok
304.0	1413	220	15.6	125	ok
306.0	1364	211	15.5	124	ok
308.0	1364	203	14.8	119	ok
310.0	1364	193	14.1	113	ok
312.0	1364	186	13.6	109	ok
314.0	1364	183	13.4	107	ok
316.0	1413	183	13.0	104	ok
318.0	1438	186	12.9	103	ok
320.0	1425	184	12.9	103	ok
322.0	1438	175	12.1	97	ok
324.0	1438	165	11.5	92	ok
326.0	1425	159	11.1	89	ok
328.0	1425	151	10.6	85	ok
330.0	1438	188	13.1	105	ok
332.0	1438	184	12.8	102	ok
334.0	1413	171	12.1	97	ok
336.0	1406	186	13.2	106	ok
338.0	1444	177	12.2	98	ok
340.0	1484	174	11.7	94	ok
342.0	1484	202	13.6	109	ok
344.0	1493	169	11.3	91	ok
346.0	1493	170	11.4	91	ok
348.0	1484	170	11.4	91	ok
350.0	1493	171	11.4	91	ok
352.0	1484	171	11.5	92	ok
354.0	1484	165	11.1	89	ok
356.0	1475	167	11.3	90	ok
358.0	1469	163	11.1	89	ok
360.0	1475	175	11.8	95	ok
362.0	1463	187	12.8	102	ok
364.0	1469	196	13.4	107	ok
366.0	1475	199	13.5	108	ok
368.0	1475	201	13.6	109	ok
370.0	1475	204	13.9	111	ok
372.0	1469	207	14.1	112	ok
374.0	1475	207	14.0	112	ok
376.0	1509	206	13.7	109	ok
378.0	1558	206	13.2	106	ok
380.0	1558	206	13.2	106	ok
382.0	1558	188	12.1	97	ok
384.0	1510	186	12.3	99	ok
386.0	1544	189	12.3	98	ok
388.0	1572	183	11.7	93	ok
390.0	1544	194	12.6	101	ok
392.0	1604	211	13.2	105	ok
394.0	1574	216	13.7	110	ok
396.0	1574	234	14.9	119	ok
398.0	1574	257	16.3	131	ok
400.0	1574	275	17.5	140	ok
402.0	1604	297	18.5	148	ok
404.0	1604	322	20.1	161	ok
406.0	1574	346	22.0	176	ok
408.0	1544	365	23.6	189	ok
410.0	1510	386	25.5	204	ok
412.0	1510	412	27.3	218	ok
414.0	1477	392	26.5	212	ok
416.0	1477	163	11.1	88	ok
418.0	1426	152	10.7	86	ok
420.0	1426	154	10.8	86	ok
422.0	1439	150	10.4	83	ok
424.0	1402	167	11.9	95	ok
426.0	1409	167	11.9	95	ok
428.0	1409	167	11.9	95	ok
430.0	1409	167	11.9	95	ok
432.0	1402	169	12.1	97	ok
434.0	1409	169	12.0	96	ok
436.0	1409	153	10.8	87	ok
438.0	1416	172	12.2	97	ok
440.0	1416	150	10.6	85	ok
442.0	1409	135	9.6	77	ok
444.0	1409	135	9.6	77	ok
446.0	1409	180	12.8	102	ok
448.0	1416	171	12.1	96	ok
450.0	1416	162	11.4	91	ok
452.0	1496	167	11.2	90	ok
454.0	1575	170	10.8	86	ok
456.0	1496	171	11.4	91	ok
458.0	1545	178	11.5	92	ok
460.0	1466	173	11.8	94	ok
462.0	1416	173	12.2	98	ok
464.0	1415	172	12.2	98	ok
466.0	1413	173	12.2	98	ok
468.0	1413	173	12.3	98	ok
470.0	1413	174	12.3	98	ok
472.0	1413	172	12.2	97	ok
474.0	1413	179	12.7	101	ok
476.0	1413	179	12.7	101	ok
478.0	1401	180	12.8	103	ok
480.0	1401	179	12.8	102	ok
482.0	1386	181	13.0	104	ok
484.0	1386	180	13.0	104	ok
486.0	1386	193	13.9	111	ok
488.0	1386	174	12.5	100	ok
490.0	1386	165	11.9	95	ok
492.0	1386	166	12.0	96	ok
494.0	1386	172	12.4	99	ok
496.0	1386	194	14.0	112	ok
498.0	1371	198	14.4	116	ok
500.0	1363	195	14.3	114	ok
502.0	1356	177	13.0	104	ok
504.0	1363	173	12.7	101	ok
506.0	1382	172	12.4	99	ok
508.0	1363	172	12.6	101	ok
510.0	1356	171	12.6	101	ok
512.0	1356	161	11.9	95	ok
514.0	1359	162	11.9	95	ok
516.0	1359	157	11.5	92	ok
518.0	1428	170	11.9	95	ok
520.0	1428	156	10.9	87	ok
522.0	1494	156	10.4	83	ok
524.0	1494	164	11.0	88	ok
526.0	1494	173	11.6	93	ok
528.0	1428	173	12.1	97	ok
530.0	1494	172	11.5	92	ok
532.0	1494	172	11.5	92	ok
534.0	1494	172	11.5	92	ok
536.0	1494	170	11.4	91	ok
538.0	1494	174	11.7	93	ok
540.0	1504	174	11.6	93	ok
542.0	1504	174	11.6	93	ok
544.0	1550	169	10.9	87	ok
546.0	1546	167	10.8	86	ok
548.0	1546	163	10.5	84	ok
550.0	1576	145	9.2	74	ok
