photo	lat	lon	alt	dist_m	drone_lat	drone_lon	drone_alt	gb_yaw	gb_pitch	dem_alt	dem_minus_lrf
data/drive/2026-08-16/DJI_202608161415_001/DJI_20260816143149_0002_W.JPG	39.4825539	73.5859167	4595.1	95.749	39.482883084	73.584900151	4609.188	112.7	-8.4	4620.8	+25.7
data/drive/2026-08-16/DJI_202608161415_001/DJI_20260816143149_0002_Z.JPG	39.4825539	73.5859167	4595.1	95.749	39.482883084	73.584900151	4609.188	112.7	-8.4	4620.8	+25.7
data/drive/2026-08-16/DJI_202608161415_001/DJI_20260816143150_0002_T.JPG	39.4825540	73.5859164	4595.2	95.723	39.482883081	73.584900107	4609.188	112.7	-8.4	4620.8	+25.6
data/drive/2026-08-16/DJI_202608161415_001/DJI_20260816143154_0003_T.JPG	39.4825552	73.5859145	4595.2	95.656	39.482884083	73.584898965	4609.191	112.7	-8.4	4620.6	+25.4
data/drive/2026-08-16/DJI_202608161415_001/DJI_20260816143154_0003_W.JPG	39.4825553	73.5859143	4595.2	95.621	39.482884059	73.584899076	4609.2	112.7	-8.4	4620.6	+25.4
data/drive/2026-08-16/DJI_202608161415_001/DJI_20260816143154_0003_Z.JPG	39.4825553	73.5859143	4595.2	95.621	39.482884059	73.584899076	4609.2	112.7	-8.4	4620.6	+25.4
data/drive/2026-08-16/DJI_202608161415_001/DJI_20260816143155_0004_W.JPG	39.4825552	73.5859144	4595.1	95.685	39.482884212	73.584898587	4609.168	112.7	-8.4	4620.6	+25.5
data/drive/2026-08-16/DJI_202608161415_001/DJI_20260816143155_0004_Z.JPG	39.4825552	73.5859144	4595.1	95.685	39.482884219	73.584898552	4609.168	112.7	-8.4	4620.6	+25.5
data/drive/2026-08-16/DJI_202608161415_001/DJI_20260816143156_0004_T.JPG	39.4825554	73.5859139	4595.1	95.651	39.482884269	73.584898418	4609.168	112.7	-8.4	4620.6	+25.5
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150012_0000_W.JPG	39.4825326	73.5859382	4597.0	178.447	39.482977005	73.584051181	4652.192	106.6	-18.4	4622.4	+25.4
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150013_0001_SUPR.JPG	39.4829102	73.5865653	4635.0	216.981	39.482969462	73.584049874	4653.175	91.7	-4.8	4646.0	+11.0
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150014_0002_SUPR.JPG	39.4827013	73.5864787	4635.4	211.578	39.482969641	73.584049494	4653.106	98.1	-4.8	4644.2	+8.8
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150015_0003_SUPR.JPG	39.4825006	73.5864073	4635.8	209.912	39.482969799	73.584049393	4653.016	104.5	-4.7	4644.8	+9.0
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150016_0004_SUPR.JPG	39.4822941	73.5863607	4635.7	213.097	39.482970012	73.584049116	4653.132	110.7	-4.7	4651.1	+15.4
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150018_0005_SUPR.JPG	39.4820961	73.5862572	4635.7	213.94	39.482970036	73.584048993	4653.188	117.1	-4.7	4654.9	+19.2
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150019_0006_SUPR.JPG	39.4818965	73.5861544	4635.8	217.499	39.482969972	73.584048959	4653.21	123.4	-4.6	4658.4	+22.6
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150020_0007_SUPR.JPG	39.4819761	73.5859763	4622.0	201.56	39.482969946	73.584049128	4653.23	123.7	-8.9	4647.1	+25.1
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150021_0008_SUPR.JPG	39.4821569	73.5860861	4622.4	199.422	39.482969974	73.584049233	4653.252	117.3	-8.9	4643.6	+21.2
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150022_0009_SUPR.JPG	39.4823403	73.5861802	4622.2	198.504	39.482969964	73.584049065	4653.208	110.9	-9.0	4639.9	+17.7
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150023_0010_SUPR.JPG	39.4825326	73.5862325	4622.5	196.238	39.482969953	73.584048902	4653.187	104.5	-9.0	4634.5	+12.0
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150024_0011_SUPR.JPG	39.4827180	73.5863274	4621.5	200.332	39.482969847	73.584048305	4653.144	98.1	-9.1	4633.9	+12.4
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150025_0012_SUPR.JPG	39.4829142	73.5864000	4620.6	204.761	39.482969558	73.584047797	4653.006	91.7	-9.1	4634.5	+13.9
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150027_0013_SUPR.JPG	39.4829191	73.5861983	4608.7	190.15	39.48296972	73.584047331	4653.07	91.7	-13.5	4620.9	+12.2
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150028_0014_SUPR.JPG	39.4827330	73.5861642	4609.4	188.95	39.482969801	73.584046981	4653.217	98.2	-13.4	4623.9	+14.5
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150029_0015_SUPR.JPG	39.4825449	73.5861380	4609.4	190.899	39.482969762	73.584046937	4653.312	104.7	-13.3	4629.2	+19.8
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150030_0016_SUPR.JPG	39.4823728	73.5860351	4610.2	188.277	39.482969611	73.584046685	4653.235	111.2	-13.2	4632.6	+22.4
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150031_0017_SUPR.JPG	39.4822019	73.5859363	4610.1	188.464	39.482969297	73.584046327	4653.164	117.7	-13.2	4637.3	+27.2
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150032_0018_SUPR.JPG	39.4820262	73.5858426	4609.7	191.649	39.48296912	73.584046104	4653.13	124.2	-13.1	4640.3	+30.6
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150033_0019_SUPR.JPG	39.4820829	73.5856886	4599.5	180.35	39.482968993	73.584045882	4653.169	124.9	-17.3	4634.2	+34.7
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150035_0020_SUPR.JPG	39.4822334	73.5858158	4599.1	181.003	39.482969104	73.584045947	4653.198	118.3	-17.4	4632.6	+33.5
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150036_0021_SUPR.JPG	39.4824049	73.5858878	4599.5	178.512	39.482969019	73.58404599	4653.139	111.6	-17.5	4626.6	+27.1
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150037_0022_SUPR.JPG	39.4825637	73.5860002	4598.0	182.376	39.482968703	73.584046128	4653.097	105.0	-17.6	4623.2	+25.2
data/drive/2026-08-16/DJI_202608161444_002/DJI_20260816150012_0002_SUPR/DJI_20260816150038_0023_SUPR.JPG	39.4827414	73.5860250	4598.2	180.422	39.482968263	73.584046145	4653.1	98.4	-17.7	4589.9	-8.3
