lat	lon	alt_m	looked	seen	best_obj8_cm	min_dist_m
39.477498	73.589691	5250	0	0		48
39.477498	73.590041	5269	0	0		53
39.477498	73.590390	5288	0	0		53
39.477768	73.587946	5131	0	0		65
39.477768	73.588295	5147	0	0		53
39.477768	73.588644	5170	1	0	156	23
39.477768	73.588993	5187	1	0	127	1
39.477768	73.589342	5202	1	0	146	9
39.477768	73.589691	5221	0	0		39
39.477768	73.590041	5241	1	0	866	26
39.477768	73.590390	5260	1	0	866	25
39.477768	73.590739	5284	0	0		49
39.478038	73.587247	5077	0	0		68
39.478038	73.587596	5106	0	0		52
39.478038	73.587946	5125	0	0		36
39.478038	73.588295	5138	0	0		41
39.478038	73.588644	5156	1	0	159	28
39.478038	73.588993	5166	1	0	127	3
39.478038	73.589342	5177	1	0	139	19
39.478038	73.589691	5195	1	0	919	31
39.478038	73.590041	5214	1	0	866	18
39.478038	73.590390	5234	1	0	866	18
39.478038	73.590739	5257	1	0	105	34
39.478308	73.586549	5005	1	0		18
39.478308	73.586898	5027	0	0		46
39.478308	73.587247	5055	0	0		53
39.478308	73.587596	5089	1	0		27
39.478308	73.587946	5110	1	0	596	10
39.478308	73.588295	5122	1	0	596	16
39.478308	73.588644	5136	1	0	513	18
39.478308	73.588993	5143	1	0	513	8
39.478308	73.589342	5154	1	0	513	10
39.478308	73.589691	5172	1	0	919	23
39.478308	73.590041	5188	0	0		42
39.478308	73.590390	5209	1	0		42
39.478308	73.590739	5232	1	1	99	14
39.478308	73.591088	5250	1	1	2	1
39.478578	73.586200	4963	1	0	712	4
39.478578	73.586549	4978	1	0	712	24
39.478578	73.586898	5005	0	0		54
39.478578	73.587247	5040	1	0		39
39.478578	73.587596	5069	1	0		23
39.478578	73.587946	5085	1	0	596	16
39.478578	73.588295	5097	1	0	469	15
39.478578	73.588644	5109	1	0	469	15
39.478578	73.588993	5118	1	0	513	4
39.478578	73.589342	5130	1	0	919	23
39.478578	73.589691	5146	1	0	578	16
39.478578	73.590041	5162	1	0	578	19
39.478578	73.590390	5184	0	0		32
39.478578	73.590739	5205	1	0	101	17
39.478578	73.591088	5220	1	1	7	2
39.478848	73.586200	4932	1	0	712	1
39.478848	73.586549	4948	1	0	712	13
39.478848	73.586898	4977	0	0		41
39.478848	73.587247	5016	1	0		24
39.478848	73.587596	5043	1	0		5
39.478848	73.587946	5057	1	0	593	12
39.478848	73.588295	5070	1	0	469	11
39.478848	73.588644	5079	1	0	469	5
39.478848	73.588993	5087	1	0	476	15
39.478848	73.589342	5100	1	0	476	4
39.478848	73.589691	5119	1	0	521	5
39.478848	73.590041	5136	1	0	578	4
39.478848	73.590390	5156	1	0		24
39.478848	73.590739	5177	1	0	151	6
39.478848	73.591088	5192	1	0		27
39.479118	73.585851	4892	1	0	647	15
39.479118	73.586200	4905	1	0	809	11
39.479118	73.586549	4922	1	0	809	24
39.479118	73.586898	4951	1	0		37
39.479118	73.587247	4991	1	0		15
39.479118	73.587596	5015	1	0		2
39.479118	73.587946	5031	1	0	469	6
39.479118	73.588295	5043	1	0	469	5
39.479118	73.588644	5049	1	0	415	2
39.479118	73.588993	5055	1	0	415	5
39.479118	73.589342	5069	1	0	434	13
39.479118	73.589691	5091	1	0	521	16
39.479118	73.590041	5112	1	0	524	16
39.479118	73.590390	5129	1	0	524	9
39.479118	73.590739	5148	1	0	108	6
39.479118	73.591088	5166	1	0	151	1
39.479388	73.585851	4864	1	0	647	9
39.479388	73.586200	4881	1	0	758	35
39.479388	73.586549	4901	0	0		52
39.479388	73.586898	4928	1	0	938	30
39.479388	73.587247	4961	1	0	763	3
39.479388	73.587596	4983	1	0	523	1
39.479388	73.587946	5000	1	0	479	0
39.479388	73.588295	5013	1	0	415	5
39.479388	73.588644	5019	1	0	415	2
39.479388	73.588993	5027	1	0	415	4
39.479388	73.589342	5042	1	0	253	4
39.479388	73.589691	5063	1	0	538	6
39.479388	73.590041	5086	1	0	524	13
39.479388	73.590390	5104	1	0	524	6
39.479388	73.590739	5123	1	0	107	8
39.479388	73.591088	5143	1	0	107	7
39.479658	73.585502	4831	1	0	750	34
39.479658	73.585851	4843	1	0	758	7
39.479658	73.586200	4863	1	0	1018	23
39.479658	73.586549	4884	0	0		46
39.479658	73.586898	4909	1	0	938	16
39.479658	73.587247	4931	1	0	666	4
39.479658	73.587596	4948	1	0	523	2
39.479658	73.587946	4964	1	0	335	3
39.479658	73.588295	4980	1	0	335	1
39.479658	73.588644	4992	1	0	415	1
39.479658	73.588993	5005	1	0	505	2
39.479658	73.589342	5022	1	0	505	10
39.479658	73.589691	5041	1	0	277	3
39.479658	73.590041	5062	1	0	620	11
39.479658	73.590390	5080	1	0	524	27
39.479658	73.590739	5099	1	1	71	12
39.479658	73.591088	5120	1	1	39	3
39.479928	73.585502	4806	1	0	750	6
