video	width	n	n_ests	no_focal	sky	gap	gsd_med_cm	gsd_p90_cm	obj8_med_cm	ryukzak	kurtka	kryshka
DJI_20260811153236_0001_Z.MP4	1920	84	36	0.405	0.000	0.000	4.996	14.944	39.964	0.488	0.417	0.095
DJI_20260811153833_0002_Z.MP4	1920	69	23	0.304	0.029	0.000	9.871	15.357	78.965	0.580	0.145	0.000
DJI_20260811154053_0003_Z.MP4	1920	87	40	0.345	0.000	0.000	4.132	11.373	33.054	0.586	0.494	0.000
DJI_20260811160637_0001_Z.MP4	1920	81	33	0.407	0.000	0.000	6.329	11.335	50.633	0.556	0.321	0.037
DJI_20260811160922_0002_Z.MP4	1920	44	14	0.318	0.000	0.000	1.850	2.222	14.801	0.682	0.682	0.545
DJI_20260811161324_0003_Z.MP4	1920	107	20	0.318	0.000	0.000	0.138	1.292	1.105	0.682	0.626	0.617
DJI_20260811202212_0001_Z.MP4	1920	124	35	0.266	0.000	0.000	1.216	3.373	9.727	0.734	0.734	0.532
DJI_20260811202621_0002_Z.MP4	1920	87	18	0.299	0.667	0.000	0.151	36.832	1.211	0.023	0.023	0.023
DJI_20260811204542_0001_Z.MP4	1920	142	42	0.310	0.155	0.028	2.819	8.456	22.552	0.507	0.444	0.232
DJI_20260811205029_0002_Z.MP4	1920	42	7	0.548	0.000	0.000	6.030	25.253	48.237	0.286	0.286	0.000
DJI_20260812133237_0005_Z.MP4	1920	9	2	1.000	0.000	0.000						
DJI_20260812133415_0006_Z.MP4	1920	28	13	0.286	0.429	0.000	0.032	5.125	0.255	0.286	0.286	0.179
DJI_20260812133553_0007_Z.MP4	1920	40	10	0.125	0.175	0.000	1.038	4.915	8.304	0.675	0.675	0.500
DJI_20260812133836_0008_Z.MP4	1920	127	42	0.244	0.000	0.000	0.855	2.808	6.839	0.756	0.756	0.638
DJI_20260812135426_0001_Z.MP4	1920	77	27	0.195	0.000	0.000	1.441	2.722	11.527	0.805	0.805	0.571
DJI_20260812135747_0002_Z.MP4	1920	70	37	0.000	0.000	0.000	0.273	0.419	2.188	1.000	1.000	1.000
DJI_20260812140054_0003_Z.MP4	1920	25	14	0.520	0.000	0.000	1.502	3.147	12.020	0.480	0.480	0.320
DJI_20260812140210_0004_Z.MP4	1920	45	16	0.444	0.000	0.000	0.615	2.376	4.924	0.556	0.556	0.467
DJI_20260812141803_0001_Z.MP4	1920	118	10	0.669	0.000	0.127	1.230	1.547	9.842	0.203	0.203	0.203
DJI_20260812143557_0001_Z.MP4	1920	256	80	0.219	0.438	0.000	0.355	181.332	2.839	0.281	0.270	0.270
DJI_20260812221415_0001_Z.MP4	1920	25	3	1.000	0.000	0.000						
DJI_20260812221521_0002_Z.MP4	1920	58	19	0.207	0.138	0.000	22.987	66.668	183.897	0.000	0.000	0.000
DJI_20260813095243_0001_Z.MP4	1920	112	12	0.670	0.000	0.000	0.858	1.051	6.865	0.330	0.330	0.330
DJI_20260813101405_0001_Z.MP4	1920	55	10	0.527	0.000	0.000	7.545	12.220	60.357	0.418	0.218	0.000
DJI_20260813103527_0001_Z.MP4	1920	128	40	0.375	0.000	0.000	0.739	1.756	5.908	0.625	0.625	0.625
DJI_20260813103943_0002_Z.MP4	1920	220	0	0.000	0.000	1.000						
DJI_20260813124213_0001_Z.MP4	1920	118	38	0.280	0.000	0.000	1.619	4.518	12.954	0.720	0.720	0.517
DJI_20260813124655_0003_Z.MP4	1920	97	29	0.309	0.000	0.000	0.660	1.376	5.282	0.691	0.691	0.691
DJI_20260813130531_0001_Z.MP4	1920	101	56	0.059	0.000	0.000	0.393	0.719	3.143	0.941	0.941	0.901
DJI_20260813131019_0002_Z.MP4	1920	226	14	0.872	0.000	0.000	2.645	3.643	21.158	0.128	0.128	0.040
DJI_20260813133738_0001_Z.MP4	1920	400	89	0.490	0.000	0.000	1.074	7.815	8.592	0.500	0.450	0.372
DJI_20260813152650_0001_Z.MP4	1920	15	0	1.000	0.000	0.000						
DJI_20260813152839_0005_Z.MP4	1920	62	26	0.210	0.000	0.000	0.680	0.791	5.436	0.790	0.790	0.790
DJI_20260813163855_0001_Z.MP4	1920	321	109	0.287	0.000	0.000	2.059	3.115	16.476	0.713	0.704	0.374
DJI_20260813183004_0001_Z.MP4	1920	126	31	0.484	0.000	0.000	0.663	1.265	5.305	0.516	0.516	0.516
DJI_20260813183534_0014_Z.MP4	1920	42	8	0.595	0.000	0.024	0.442	0.472	3.537	0.381	0.381	0.381
DJI_20260813183727_0015_Z.MP4	1920	137	58	0.314	0.000	0.000	0.393	1.912	3.142	0.686	0.686	0.635
DJI_20260813184253_0016_Z.MP4	1920	45	12	0.600	0.000	0.000	0.833	3.158	6.664	0.400	0.400	0.289
DJI_20260813185516_0001_Z.MP4	1920	243	33	0.650	0.000	0.000	0.462	1.272	3.694	0.350	0.350	0.350
DJI_20260814114240_0001_Z.MP4	1920	60	14	0.033	0.000	0.000	0.579	1.050	4.634	0.967	0.967	0.967
DJI_20260814114556_0002_Z.MP4	1920	85	15	0.494	0.000	0.000	0.379	1.036	3.028	0.506	0.506	0.506
DJI_20260814120925_0001_Z.MP4	1920	54	16	0.389	0.000	0.000	0.410	0.586	3.283	0.611	0.611	0.611
DJI_20260814121341_0002_Z.MP4	1920	127	5	0.858	0.000	0.000	0.378	0.397	3.022	0.142	0.142	0.142
DJI_20260814150800_0001_Z.MP4	1920	48	22	0.062	0.000	0.000	1.039	1.181	8.310	0.938	0.938	0.938
DJI_20260814151055_0002_Z.MP4	1920	20	0	1.000	0.000	0.000						
DJI_20260814152347_0006_Z.MP4	1920	45	15	0.200	0.000	0.000	0.777	0.984	6.220	0.800	0.800	0.800
DJI_20260814152640_0007_Z.MP4	1920	83	29	0.169	0.000	0.012	0.499	1.138	3.996	0.819	0.819	0.819
DJI_20260814153347_0008_Z.MP4	1920	31	10	0.323	0.000	0.000	1.793	2.994	14.341	0.677	0.677	0.419
DJI_20260814211929_0001_Z.MP4	1920	40	19	0.225	0.000	0.000	0.894	5.639	7.149	0.775	0.775	0.525
DJI_20260814212242_0002_Z.MP4	1920	35	0	1.000	0.000	0.000						
DJI_20260814212520_0003_Z.MP4	1920	73	8	0.712	0.000	0.000	0.864	0.968	6.910	0.288	0.288	0.288
DJI_20260815111704_0001_Z.MP4	1920	85	16	0.518	0.000	0.000	33.524	133.590	268.190	0.000	0.000	0.000
DJI_20260815112138_0002_Z.MP4	1920	14	9	0.071	0.000	0.000	0.526	0.577	4.211	0.929	0.929	0.929
DJI_20260815112305_0003_Z.MP4	1920	63	24	0.127	0.016	0.000	1.415	54.951	11.323	0.619	0.619	0.619
DJI_20260815112532_0004_Z.MP4	1920	103	13	0.602	0.000	0.000	0.951	27.114	7.606	0.214	0.214	0.214
DJI_20260815114221_0001_Z.MP4	1920	172	95	0.337	0.000	0.000	0.992	39.096	7.933	0.593	0.593	0.587
