# Отметки для чистовых полотен (annotate_mosaic.py). Источник координат —
# docs/nakhodki/README.md; при обновлении реестра синхронизировать вручную.
# approx=1 — координата приблизительная (GPS дрона / проекция), рисуется с «≈».
# mosaic+mx+my (опционально) — объект виден на полотне: ставить по пикселю
# этого полотна, а не по геопривязке (точнее). Пути — относительно analysis/.
# Якоря действительны для текущих полотен: перегенерация склейки видео меняет
# холст — после неё пиксели перепроверить.
label	lat	lon	approx	mosaic	mx	my
Рюкзак 4663м	39.482656	73.586792	0	stitch/DJI_20260814121341_0002_Z/mosaic_06.jpg	582	1606
Палка Komperdell 4529м	39.483176	73.585463	0	stitch/DJI_20260813183004_0001_Z/mosaic_05.jpg	2040	2140
Крышка 4531м	39.483144	73.585443	0	stitch/DJI_20260813183004_0001_Z/mosaic_05.jpg	5055	615
Стакан 4552м	39.483403	73.585137	1			
Спальник	39.483280	73.585135	1			
Борозды U	39.483129	73.584877	1			
Г-образный предмет 13.08	39.477320	73.592030	1	stitch/DJI_20260813152839_0005_Z/mosaic_06.jpg	1599	863
Смятая ткань у рюкзака 14.08	39.482616	73.586853	1	stitch/DJI_20260814121341_0002_Z/mosaic_03.jpg	4069	1766
Ткань с белой полосой 14.08	39.482608	73.586847	1	stitch/DJI_20260814121341_0002_Z/mosaic_03.jpg	3379	4163
Предметы с бороздами 11.08	39.477600	73.592300	1			
Дорожка отметин 11.08	39.476790	73.592030	1			
Ткань? 12.08	39.477530	73.592280	1			
Россыпь, ледоруб/палка? 12.08	39.476790	73.592170	1			
