name	video	t	drone_lat	drone_lon	drone_alt	yaw	pitch	hit_lat	hit_lon	hit_alt	dist_m	drift30_m	offset_m	verdict
Белый стакан	20260813183004	220	39.483403	73.585137	4552	140.3	-1.9	39.482922	73.585654	4550	70	48	70	poloho
Г-образный тёмный предмет	20260813152839	104	39.477321	73.592026	5443	162.8	-4.3	39.477176	73.592084	5442	17	5859	17	poloho
Дорожка отметин по линии падения	20260811204542	85	39.476790	73.592026	5483	57.0	-57.1	39.476809	73.592064	5477	7	inf	4	poloho
Поле 4–6 предметов с бороздами	20260811202621	44	39.477726	73.592283	5385	-174.3	23.4							no_hit
«Ткань?» — смятый охристо-бурый объект	20260812143557	358	39.477525	73.592279	5404	-177.6	-26.2							no_hit
Россыпь предметов, один сегментированный	20260812143557	500	39.476790	73.592168	5466	131.8	-50.1							no_hit
Борозды без предметов	20260811202621	118	39.477639	73.592269	5395	179.5	34.5							no_hit
Цепочка вмятин с шагом 1–2 м	20260812143557	208	39.477876	73.592253	5366	174.7	-12.6							no_hit
Пенка/каремат?	20260813183534	54	39.483094	73.585120	4556	102.3	8.9	39.482951	73.585969	4567	76	1685	75	poloho
Воронка удара + предмет в снегу	20260811161324	4	39.485472	73.594879	4992	-161.9	-30.4							no_hit
Каплевидный объект на ровном снегу	20260811161324	194	39.485958	73.594323	4952	20.7	-35.3	39.487015	73.594839	4864	154	inf	126	poloho
«Трепыхающаяся ткань» на гребне	20260813095243	15	39.470747	73.588596	5860	117.8	22.4	39.470380	73.589496	5896	95	inf	87	poloho
Тёмный угловатый объект, светлое включение	20260813101405	92	39.478446	73.588403	5879	168.2	5.4	39.469851	73.590725	5971	980	73	976	poloho
Объект с бороздой у высоты вершины	20260813103527	198	39.468818	73.589417	6096	66.3	-41.2	39.469131	73.590342	6020	115	935	87	poloho
Х-образный объект + борозда на выносе	20260813130531	160	39.476397	73.595090	5381	-131.5	-108.4	39.476481	73.595213	5338	45	inf	14	poloho
Кремовый округлый объект (каска?)	20260813133738	398	39.481379	73.595106	5108	79.6	-65.0	39.481554	73.596343	4876	256	22	108	ok
Объект с жёлтым включением у бергшрунда	20260813152650	2	39.480644	73.592602	5155	-155.7	-27.6	39.480445	73.592486	5142	27	inf	24	poloho
Овальный предмет на чистом снегу	20260811204542	258	39.482470	73.592978	5088	23.3	-59.4	39.482724	73.593120	5036	60	26	31	ok
Линия старых перил (0:00–2:18)	20260812135747	16	39.480975	73.592624	5146	-167.7	-53.1	39.480794	73.592573	5119	34	16	21	ok
Верёвки выше по стене	20260812140210	29	39.479920	73.592547	5211	175.7	7.3	39.479292	73.592608	5220	71	45	70	poloho
Верёвка ниже + оранжевая точка	20260812133415	44	39.485585	73.595114	4985	-140.2	1.2	39.479528	73.588586	5004	876	158	876	poloho
След срыва (калибровочный, известный)	20260812135426	41	39.481811	73.592881	5097	163.4	-8.0	39.481255	73.593095	5088	65	inf	65	poloho
Скальный крюк	20260812135426	16	39.481810	73.592882	5097	162.3	-13.4	39.481350	73.593072	5085	55	inf	54	poloho
Верёвки: «пещера», вокруг скалы, короткие	20260811202212	66	39.481353	73.592944	5180	-168.9	7.7	39.479361	73.592439	5210	228	61	226	poloho
Провал снежного моста у бергшрунда	20260811204542	256	39.482470	73.592978	5088	23.3	-59.4	39.482724	73.593120	5036	60	26	31	ok
Две смежные лунки в снегу	20260811202212	39	39.484069	73.593674	5084	-165.1	-31.4	39.483117	73.593346	5018	128	35	110	poloho
Вторая цепочка вмятин	20260812143557	272	39.477746	73.592258	5376	-166.6	-16.7							no_hit
«Турик?» — каменная пирамидка?	20260811160637	44	39.492599	73.597166	4852	119.9	-11.7	39.491431	73.599794	4798	266	1392	260	poloho
«Камни?» (Гипотезы #919)	20260811160637	121	39.491296	73.598130	4851	-144.9	-14.0	39.489023	73.596063	4774	318	78	309	poloho
Обледеневший кусок с чётким краем на гребне?	20260813095243	32	39.470750	73.588594	5859	118.6	22.8	39.470371	73.589494	5896	96	inf	88	poloho
«Дно рюкзака?» — снег необычно лежит на камне	20260813124213	26	39.479934	73.591879	5211	151.3	18.5	39.479001	73.592540	5250	125	151	118	poloho
Две крупные борозды у района вещей (TG #1752)	20260813163855	53	39.484314	73.584023	4673	150.4	-37.5	39.482912	73.585055	4535	226	27	179	ok
Кулуар 124213: следы скольжения…	20260813124213	128	39.479935	73.591876	5210	154.5	10.9	39.479151	73.592360	5229	98	40	97	poloho
Фестончатая дорожка по центру кулуара	20260813124213	80	39.479935	73.591877	5211	152.3	22.5	39.478816	73.592637	5269	152	2212	140	poloho
Блоки, пробившие снежную корку, у трещины	20260812133237	2	39.489910	73.597311	4858	119.6	-55.8	39.489744	73.597689	4803	66	15	37	ok
«Тело головой вниз» — наледь	20260812135426	54	39.481811	73.592880	5097	164.5	-5.0	39.481191	73.593102	5091	72	inf	71	poloho
Прямоугольное пятно — маленький лёд	20260812135426	44	39.481811	73.592881	5097	164.2	-8.6	39.481277	73.593076	5088	62	inf	62	poloho
Синий объект — камень	20260811202212	80	39.480296	73.592720	5242	-171.1	7.7	39.478850	73.592428	5264	164	40	163	poloho
«Фигура у следов» и «след схода» — камни	20260811202212	80	39.480296	73.592720	5242	-171.1	7.7	39.478850	73.592428	5264	164	40	163	poloho
Объект, на который зумился дрон — камни	20260813103527	117	39.468818	73.589419	6096	88.1	-36.4	39.468838	73.590210	6045	85	48	68	poloho
