track	t_best	t0	t1	bbox	length_px	score	lat	lon	alt
0	37.0	35.0	38.0	354,382,234,304	379.5	3697.8	39.4829073	73.5845991	4623.6
1	37.0	37.0	37.0	0,14,198,234	290.2	2916.2	39.4829073	73.5845991	4623.6
2	38.0	35.0	38.0	232,274,120,190	222.0	2765.2	39.4829077	73.5845988	4623.6
3	36.0	35.0	37.0	336,488,158,222	268.5	2355.0	39.4829073	73.5845986	4623.6
4	49.0	49.0	49.0	454,364,50,204	207.1	2297.5	39.4827820	73.5846424	4628.1
5	51.1	51.1	51.1	1232,626,18,174	172.3	2223.8	39.4826759	73.5846851	4632.9
6	49.0	47.0	49.0	540,294,44,240	239.7	2026.4	39.4827820	73.5846424	4628.1
7	36.0	36.0	37.0	32,98,136,198	234.0	1956.8	39.4829073	73.5845986	4623.6
8	47.0	47.0	48.0	418,0,64,116	129.7	1666.1	39.4828712	73.5846083	4623.8
9	51.1	51.1	51.1	588,378,24,196	194.2	1617.1	39.4826759	73.5846851	4632.9
10	51.1	51.1	51.1	396,0,36,240	238.4	1542.3	39.4826759	73.5846851	4632.9
11	50.1	43.0	50.1	1114,176,28,110	108.7	1481.2	39.4827303	73.5846632	4630.5
12	38.0	35.0	38.0	384,428,102,164	190.3	1467.2	39.4829077	73.5845988	4623.6
13	50.1	50.1	50.1	1194,80,26,152	151.1	1384.6	39.4827303	73.5846632	4630.5
14	49.0	49.0	50.1	430,436,36,138	139.3	1317.8	39.4827820	73.5846424	4628.1
15	51.1	51.1	51.1	1104,796,24,118	116.0	1270.1	39.4826759	73.5846851	4632.9
16	51.1	51.1	51.1	1266,598,22,124	123.0	1221.6	39.4826759	73.5846851	4632.9
17	49.0	43.0	49.0	760,330,22,176	174.7	1211.8	39.4827820	73.5846424	4628.1
18	38.0	38.0	38.0	264,394,68,90	103.2	1194.2	39.4829077	73.5845988	4623.6
19	39.0	35.0	47.0	1210,160,46,66	76.5	1134.2	39.4829078	73.5845987	4623.6
20	51.1	51.1	51.1	1372,456,20,120	118.4	1128.2	39.4826759	73.5846851	4632.9
21	43.0	43.0	48.0	758,54,68,122	135.1	1098.4	39.4829086	73.5845982	4623.6
22	46.0	44.0	46.0	742,134,70,124	136.8	1077.3	39.4828971	73.5846002	4623.6
23	49.0	47.0	49.0	678,380,34,162	161.7	1061.4	39.4827820	73.5846424	4628.1
24	51.1	51.1	51.1	986,498,26,110	110.1	1036.0	39.4826759	73.5846851	4632.9
25	50.1	50.1	50.1	944,56,22,104	103.6	965.2	39.4827303	73.5846632	4630.5
26	50.1	50.1	50.1	1242,16,22,90	88.8	831.8	39.4827303	73.5846632	4630.5
27	37.0	37.0	37.0	142,238,64,72	93.4	769.6	39.4829073	73.5845991	4623.6
28	47.0	47.0	48.0	1334,228,40,64	71.5	753.0	39.4828712	73.5846083	4623.8
29	48.0	48.0	48.0	526,298,54,110	118.2	706.5	39.4828325	73.5846225	4625.6
30	50.1	50.1	50.1	1310,102,20,78	76.2	699.4	39.4827303	73.5846632	4630.5
31	49.0	49.0	49.0	512,830,40,94	98.8	691.3	39.4827820	73.5846424	4628.1
32	38.0	36.0	38.0	404,674,52,72	84.9	688.9	39.4829077	73.5845988	4623.6
33	59.1	59.1	59.1	1388,88,58,108	119.9	688.3	39.4825208	73.5847481	4637.3
34	77.1	77.1	77.1	1246,0,62,96	111.5	649.7	39.4825246	73.5847494	4637.3
35	47.0	47.0	47.0	1148,368,36,76	76.0	642.6	39.4828712	73.5846083	4623.8
36	48.0	48.0	48.0	572,662,34,100	102.5	635.8	39.4828325	73.5846225	4625.6
37	36.0	35.0	36.0	216,222,48,70	79.6	634.4	39.4829073	73.5845986	4623.6
38	37.0	37.0	37.0	442,302,50,86	96.7	506.6	39.4829073	73.5845991	4623.6
39	59.1	59.1	59.1	1438,0,44,80	88.5	500.6	39.4825208	73.5847481	4637.3
40	62.1	62.1	62.1	696,38,54,64	80.8	451.7	39.4825211	73.5847481	4637.3
41	50.1	50.1	50.1	542,960,18,78	77.1	419.8	39.4827303	73.5846632	4630.5
42	76.1	76.1	76.1	636,992,46,72	82.7	376.0	39.4825243	73.5847495	4637.3
