track	t_best	t0	t1	bbox	length_px	score	lat	lon	alt
0	142.1	137.1	144.1	360,414,188,666	688.5	7902.3	39.4863280	73.5937840	4927.5
1	200.2	200.2	200.2	1322,578,54,502	501.2	6072.5	39.4863260	73.5937830	4927.4
2	162.2	153.2	162.2	890,382,130,652	662.3	6039.7	39.4863280	73.5937830	4927.4
3	147.1	145.1	152.2	648,42,168,586	606.9	5821.2	39.4863290	73.5937850	4927.5
4	195.2	195.2	202.2	944,514,126,440	451.2	5669.6	39.4863260	73.5937830	4927.4
5	144.1	140.1	144.1	614,464,172,616	636.4	5457.6	39.4863290	73.5937840	4927.5
6	165.2	161.2	169.2	696,0,136,582	594.3	5448.2	39.4863280	73.5937840	4927.5
7	149.1	145.1	156.2	726,136,96,602	603.9	5294.2	39.4863290	73.5937850	4927.5
8	200.2	194.2	200.2	1368,232,60,584	584.4	5023.0	39.4863260	73.5937830	4927.4
9	141.1	136.1	143.1	574,474,100,526	529.9	4773.7	39.4863280	73.5937840	4927.5
10	149.1	145.1	153.2	792,26,98,452	458.1	4730.7	39.4863290	73.5937850	4927.5
11	142.1	133.1	144.1	590,88,42,360	357.7	4627.2	39.4863280	73.5937840	4927.5
12	145.1	145.1	157.2	936,614,92,440	446.8	4503.6	39.4863290	73.5937840	4927.5
13	144.1	143.1	144.1	568,618,122,462	475.3	4423.3	39.4863290	73.5937840	4927.5
14	200.2	200.2	200.2	668,800,64,280	283.5	4251.0	39.4863260	73.5937830	4927.4
15	195.2	195.2	199.2	928,392,114,460	469.5	4157.7	39.4863260	73.5937830	4927.4
16	145.1	145.1	153.2	850,486,94,494	500.1	4093.5	39.4863290	73.5937840	4927.5
17	207.2	205.2	210.2	980,158,108,422	432.7	4086.3	39.4863270	73.5937840	4927.5
18	170.2	158.2	172.2	590,0,112,458	468.5	4048.2	39.4863280	73.5937840	4927.5
19	144.1	143.1	144.1	974,646,80,434	436.1	3981.4	39.4863290	73.5937840	4927.5
20	198.2	195.2	202.2	640,478,46,144	147.0	3928.9	39.4863260	73.5937830	4927.4
21	201.2	201.2	202.2	448,32,26,184	182.0	3627.7	39.4863260	73.5937830	4927.4
22	139.1	135.1	140.1	596,448,42,254	253.0	3592.2	39.4863280	73.5937830	4927.5
23	194.2	194.2	198.2	1552,6,120,380	394.2	3590.1	39.4863260	73.5937830	4927.4
24	200.2	200.2	200.2	942,808,52,250	249.8	3502.3	39.4863260	73.5937830	4927.4
25	144.1	138.1	144.1	562,322,66,400	399.9	3334.7	39.4863290	73.5937840	4927.5
26	142.1	141.1	144.1	522,430,64,358	358.0	3312.1	39.4863280	73.5937840	4927.5
27	144.1	141.1	144.1	426,656,140,308	328.5	3265.2	39.4863290	73.5937840	4927.5
28	188.2	186.2	193.2	1238,786,70,294	299.8	3258.4	39.4863260	73.5937830	4927.4
29	138.1	135.1	144.1	726,722,54,290	291.4	3237.2	39.4863270	73.5937830	4927.5
30	198.2	194.2	200.2	908,388,82,298	302.8	3226.1	39.4863260	73.5937830	4927.4
31	142.1	140.1	149.1	856,762,64,318	321.1	3126.3	39.4863280	73.5937840	4927.5
32	208.2	208.2	210.2	460,0,66,372	375.4	3019.3	39.4863270	73.5937840	4927.5
33	153.2	153.2	159.2	1476,284,54,316	318.0	3010.1	39.4863280	73.5937840	4927.5
34	200.2	194.2	200.2	1286,530,36,338	336.8	3007.3	39.4863260	73.5937830	4927.4
35	202.2	202.2	205.2	448,50,54,332	331.5	2998.1	39.4863260	73.5937830	4927.4
36	82.1	81.1	82.1	896,202,100,210	229.4	2968.0	39.4863270	73.5937820	4927.5
37	195.2	195.2	203.2	560,598,52,142	146.2	2926.4	39.4863260	73.5937830	4927.4
38	157.2	155.2	163.2	722,856,46,224	225.9	2905.6	39.4863280	73.5937840	4927.5
39	206.2	205.2	210.2	920,776,60,304	306.8	2890.4	39.4863270	73.5937840	4927.5
40	44.0	38.0	46.0	300,692,142,210	247.1	2820.7	39.4863250	73.5937810	4927.5
41	200.2	200.2	202.2	1214,622,54,342	343.3	2815.2	39.4863260	73.5937830	4927.4
42	145.1	145.1	145.1	648,484,78,296	303.5	2741.9	39.4863290	73.5937840	4927.5
43	201.2	201.2	201.2	1102,290,42,188	189.8	2739.6	39.4863260	73.5937830	4927.4
44	192.2	187.2	193.2	850,466,82,210	220.6	2702.9	39.4863270	73.5937830	4927.5
45	209.2	209.2	209.2	342,14,80,372	375.8	2661.4	39.4863280	73.5937840	4927.5
46	41.0	37.0	47.0	758,626,82,124	144.8	2616.0	39.4863250	73.5937810	4927.6
47	158.2	156.2	169.2	1310,784,32,198	198.0	2612.7	39.4863280	73.5937840	4927.5
48	199.2	199.2	203.2	1296,748,56,218	216.6	2606.1	39.4863260	73.5937830	4927.4
49	198.2	195.2	199.2	938,840,76,240	247.9	2564.1	39.4863260	73.5937830	4927.4
50	78.1	78.1	78.1	222,628,130,276	299.1	2537.3	39.4863280	73.5937820	4927.6
51	56.1	55.1	56.1	144,906,182,174	244.6	2533.2	39.4863260	73.5937820	4927.6
52	174.2	172.2	179.2	592,814,38,132	134.4	2518.5	39.4863280	73.5937840	4927.4
