track	t_best	t0	t1	bbox	score	lat	lon	alt
0	379.4	379.4	387.4	439,845,328,226	56373.4	39.4825092	73.5863507	4701.0
1	381.4	381.4	382.4	637,715,207,142	51113.8	39.4825085	73.5863511	4701.0
2	378.4	374.4	382.4	459,871,320,209	45182.4	39.4825100	73.5863506	4701.0
3	377.4	369.4	381.4	211,873,158,207	44590.5	39.4825107	73.5863502	4701.0
4	370.4	363.4	375.4	930,323,171,120	41731.5	39.4825119	73.5863483	4701.0
5	382.4	381.4	383.4	697,677,166,116	39755.7	39.4825084	73.5863513	4701.0
6	377.4	376.4	377.4	453,966,337,114	35998.4	39.4825107	73.5863502	4701.0
7	427.4	424.4	438.4	1129,433,112,102	25546.4	39.4825023	73.5863540	4701.0
8	383.4	375.4	383.4	781,633,114,80	23348.8	39.4825084	73.5863516	4701.0
9	393.4	392.4	393.4	797,0,166,73	20541.7	39.4825091	73.5863527	4701.1
10	356.4	356.4	358.4	31,413,210,92	20169.8	39.4825110	73.5863504	4701.0
11	385.4	377.4	393.4	765,402,148,85	19598.3	39.4825087	73.5863520	4701.0
12	400.4	395.4	418.4	897,423,194,76	19595.6	39.4825071	73.5863548	4701.0
13	375.4	367.4	375.4	607,725,78,142	19560.4	39.4825117	73.5863497	4701.0
14	382.4	382.4	382.4	575,631,78,136	19367.7	39.4825084	73.5863513	4701.0
15	389.4	388.4	391.4	717,567,196,92	19241.6	39.4825091	73.5863516	4701.0
16	397.4	395.4	418.4	877,59,156,126	17509.9	39.4825078	73.5863548	4701.0
17	423.4	423.4	425.4	942,399,163,133	16967.4	39.4825023	73.5863538	4701.0
18	402.4	400.4	418.4	889,427,145,126	16433.8	39.4825072	73.5863541	4701.0
19	365.4	362.4	366.4	776,265,97,64	15576.1	39.4825114	73.5863491	4701.0
20	422.4	420.4	422.4	1023,332,106,79	14702.0	39.4825024	73.5863536	4701.0
21	372.4	367.4	373.4	1073,799,80,88	13167.2	39.4825122	73.5863487	4701.0
22	390.4	388.4	391.4	825,291,82,90	12960.0	39.4825094	73.5863518	4701.0
23	367.4	367.4	367.4	881,1003,176,77	12850.3	39.4825121	73.5863485	4701.0
24	418.4	397.4	418.4	943,408,150,89	11991.4	39.4825049	73.5863527	4701.0
25	240.2	233.2	241.2	1101,145,110,144	11848.2	39.4825087	73.5863461	4700.9
26	407.4	395.4	418.4	965,415,128,96	11651.6	39.4825080	73.5863524	4701.0
27	419.4	419.4	419.4	962,395,91,70	10790.9	39.4825043	73.5863530	4701.0
28	394.4	394.4	394.4	835,203,142,110	10578.0	39.4825089	73.5863534	4701.0
29	359.4	359.4	360.4	367,303,74,50	10025.6	39.4825119	73.5863504	4701.0
30	383.4	378.4	383.4	699,601,52,98	9941.5	39.4825084	73.5863516	4701.0
31	416.4	395.4	418.4	1759,337,58,116	9736.5	39.4825058	73.5863522	4701.0
32	120.1	104.1	123.1	588,0,87,81	9520.9	39.4825046	73.5863501	4700.9
33	365.4	361.4	366.4	801,639,106,52	7743.8	39.4825114	73.5863491	4701.0
34	407.4	395.4	418.4	1757,333,60,110	7329.3	39.4825080	73.5863524	4701.0
35	384.4	384.4	387.4	845,979,110,51	7235.3	39.4825087	73.5863520	4701.0
36	422.4	420.4	422.4	1049,705,110,48	7081.8	39.4825024	73.5863536	4701.0
37	392.4	392.4	393.4	862,537,109,48	7037.9	39.4825092	73.5863522	4701.1
38	383.4	383.4	383.4	875,943,56,62	6958.4	39.4825084	73.5863516	4701.0
