ранг	ранг_в_группе	расстояние	сигнатура	d_ab	d_L	ловушка	d_ловушки	L	a	b	C	цвет_измерен	track	t_best	t0	t1	bbox	score	lat	lon	alt
1	1	0.620	рюкзак-синий	3.2	13.4	снег-в-тени	0.691	52.2	-2.0	-13.0	13.2	bbox	0	2.0	1.0	4.0	29,649,80,53	3217.8	39.4863180	73.5937900	4927.5
2	2	1.602	стакан-марка-красная	12.4	11.8	порода-охристая	0.451	38.0	14.0	13.0	19.1	bbox	1	199.2	195.2	203.2	386,566,27,59	2667.1	39.4863260	73.5937830	4927.4
3	3	1.486	палка-ручка-пробка	10.3	20.8	порода-охристая	0.710	54.9	10.0	14.0	17.2	bbox	2	162.2	162.2	163.2	65,1027,50,20	2644.6	39.4863280	73.5937830	4927.4
4	4	0.402	рюкзак-синий	3.2	2.0	снег-в-тени	0.451	40.8	0.0	-11.0	11.0	bbox	3	179.2	167.2	181.2	1206,129,45,70	2554.1	39.4863260	73.5937830	4927.4
5	5	1.286	стакан-марка-красная	3.6	33.7	порода-в-тени	1.389	16.1	9.0	-2.0	9.2	bbox	4	80.1	80.1	82.1	1845,31,75,38	2456.3	39.4863270	73.5937820	4927.5
6	6	0.777	рюкзак-синий	4.5	15.1	снег-в-тени	0.662	53.9	-3.0	-12.0	12.4	bbox	5	126.1	122.1	126.1	47,35,74,50	2418.7	39.4863270	73.5937820	4927.4
7	7	0.924	рюкзак-синий	7.3	4.5	снег-в-тени	0.623	34.3	3.0	-7.0	7.6	bbox	6	204.2	200.2	204.2	93,446,46,56	2332.3	39.4863260	73.5937840	4927.5
8	8	1.733	палка-ручка-контроль	13.5	11.7	порода-охристая	0.844	45.9	15.0	16.0	21.9	bbox	7	126.1	113.1	126.1	300,0,69,45	2290.4	39.4863270	73.5937820	4927.4
9	9	1.705	палка-ручка-контроль	12.8	16.4	порода-охристая	0.736	41.2	14.0	16.0	21.3	bbox	8	12.0	9.0	12.0	217,927,39,44	2273.3	39.4863220	73.5937870	4927.6
10	10	1.374	стакан-марка-красная	8.9	22.3	порода-охристая	0.682	27.5	15.0	9.0	17.5	bbox	9	58.1	47.0	61.1	23,575,54,38	2102.5	39.4863270	73.5937820	4927.6
11	11	1.682	стакан-марка-красная	7.6	38.8	порода-в-тени	0.831	11.0	4.0	-2.0	4.5	bbox	10	55.1	55.1	56.1	1449,499,41,73	2009.5	39.4863260	73.5937820	4927.6
12	12	1.210	стакан-марка-красная	7.8	20.0	порода-охристая	0.857	29.8	6.0	7.0	9.2	bbox	11	144.1	143.1	144.1	1643,445,28,32	1964.7	39.4863290	73.5937840	4927.5
13	13	1.301	стакан-марка-красная	8.5	20.8	порода-охристая	0.562	29.0	8.0	9.0	12.0	bbox	12	81.1	81.1	81.1	1771,135,18,46	1961.5	39.4863270	73.5937820	4927.5
14	14	1.115	стакан-марка-красная	8.1	13.3	порода-охристая	0.629	36.5	7.0	8.0	10.6	bbox	13	10.0	7.0	10.0	675,683,29,26	1893.7	39.4863220	73.5937880	4927.6
15	15	0.924	стакан-марка-красная	7.3	4.5	порода-охристая	0.514	45.3	9.0	8.0	12.0	bbox	14	169.2	168.2	171.2	1877,997,34,48	1891.5	39.4863280	73.5937840	4927.5
16	16	1.002	палка-ручка-пробка	6.4	16.9	лишайник-жёлтый-на-камне	1.058	58.8	10.0	19.0	21.5	bbox	15	204.2	204.2	207.2	185,985,20,48	1855.3	39.4863260	73.5937840	4927.5
17	17	1.054	стакан-марка-красная	7.2	15.3	порода-охристая	0.721	34.5	7.0	7.0	9.9	bbox	16	223.2	216.2	225.2	525,446,44,21	1853.1	39.4863270	73.5937830	4927.5
18	18	0.772	рюкзак-синий	5.1	12.2	снег-в-тени	0.169	51.0	0.0	-9.0	9.0	bbox	17	189.2	178.2	190.2	993,74,30,27	1816.0	39.4863260	73.5937830	4927.4
19	19	0.849	рюкзак-синий	6.1	10.6	снег-в-тени	0.742	28.2	2.0	-8.0	8.2	bbox	18	170.2	164.2	171.2	1751,32,24,74	1808.2	39.4863280	73.5937840	4927.5
20	20	0.762	рюкзак-синий	6.1	1.5	снег-в-тени	0.377	37.3	0.0	-8.0	8.0	bbox	19	150.2	149.1	164.2	1869,979,28,42	1804.0	39.4863280	73.5937850	4927.5
21	21	1.731	стакан-марка-красная	13.0	16.7	порода-охристая	0.699	33.1	16.0	13.0	20.6	bbox	20	182.2	182.2	185.2	835,251,30,22	1723.5	39.4863260	73.5937830	4927.4
