track	t_best	t0	t1	bbox	score	lat	lon	alt
0	2.0	1.0	4.0	29,649,80,53	3217.8	39.4863180	73.5937900	4927.5
1	199.2	195.2	203.2	386,566,27,59	2667.1	39.4863260	73.5937830	4927.4
2	162.2	162.2	163.2	65,1027,50,20	2644.6	39.4863280	73.5937830	4927.4
3	179.2	167.2	181.2	1206,129,45,70	2554.1	39.4863260	73.5937830	4927.4
4	80.1	80.1	82.1	1845,31,75,38	2456.3	39.4863270	73.5937820	4927.5
5	126.1	122.1	126.1	47,35,74,50	2418.7	39.4863270	73.5937820	4927.4
6	204.2	200.2	204.2	93,446,46,56	2332.3	39.4863260	73.5937840	4927.5
7	126.1	113.1	126.1	300,0,69,45	2290.4	39.4863270	73.5937820	4927.4
8	12.0	9.0	12.0	217,927,39,44	2273.3	39.4863220	73.5937870	4927.6
9	58.1	47.0	61.1	23,575,54,38	2102.5	39.4863270	73.5937820	4927.6
10	55.1	55.1	56.1	1449,499,41,73	2009.5	39.4863260	73.5937820	4927.6
11	144.1	143.1	144.1	1643,445,28,32	1964.7	39.4863290	73.5937840	4927.5
12	81.1	81.1	81.1	1771,135,18,46	1961.5	39.4863270	73.5937820	4927.5
13	10.0	7.0	10.0	675,683,29,26	1893.7	39.4863220	73.5937880	4927.6
14	169.2	168.2	171.2	1877,997,34,48	1891.5	39.4863280	73.5937840	4927.5
15	204.2	204.2	207.2	185,985,20,48	1855.3	39.4863260	73.5937840	4927.5
16	223.2	216.2	225.2	525,446,44,21	1853.1	39.4863270	73.5937830	4927.5
17	189.2	178.2	190.2	993,74,30,27	1816.0	39.4863260	73.5937830	4927.4
18	170.2	164.2	171.2	1751,32,24,74	1808.2	39.4863280	73.5937840	4927.5
19	150.2	149.1	164.2	1869,979,28,42	1804.0	39.4863280	73.5937850	4927.5
20	182.2	182.2	185.2	835,251,30,22	1723.5	39.4863260	73.5937830	4927.4
21	4.0	4.0	4.0	156,575,43,23	1713.0	39.4863190	73.5937890	4927.5
22	197.2	195.2	200.2	267,705,50,55	1711.9	39.4863260	73.5937830	4927.4
23	80.1	80.1	80.1	13,822,36,83	1703.0	39.4863270	73.5937820	4927.5
24	0.0	0.0	3.0	41,671,66,30	1660.1	39.4863170	73.5937900	4927.5
25	170.2	159.2	174.2	1129,277,22,28	1659.9	39.4863280	73.5937840	4927.5
26	196.2	195.2	198.2	17,751,16,39	1647.5	39.4863260	73.5937830	4927.4
27	110.1	108.1	117.1	741,361,28,24	1629.7	39.4863260	73.5937820	4927.5
28	169.2	165.2	170.2	1887,55,26,30	1614.0	39.4863280	73.5937840	4927.5
29	177.2	177.2	178.2	1895,37,25,64	1601.5	39.4863270	73.5937830	4927.5
30	58.1	58.1	58.1	177,87,60,56	1597.6	39.4863270	73.5937820	4927.6
31	162.2	156.2	163.2	1709,101,30,24	1586.2	39.4863280	73.5937830	4927.4
32	204.2	200.2	204.2	297,700,24,55	1563.8	39.4863260	73.5937840	4927.5
33	199.2	199.2	200.2	121,909,23,36	1559.8	39.4863260	73.5937830	4927.4
34	174.2	173.2	176.2	1112,988,25,27	1551.2	39.4863280	73.5937840	4927.4
35	191.2	189.2	193.2	149,733,36,56	1528.0	39.4863260	73.5937830	4927.4
36	80.1	80.1	80.1	1771,11,70,22	1510.6	39.4863270	73.5937820	4927.5
37	112.1	112.1	112.1	703,646,24,45	1500.3	39.4863260	73.5937820	4927.5
38	178.2	171.2	181.2	965,549,28,24	1492.3	39.4863260	73.5937830	4927.5
39	58.1	55.1	58.1	73,0,30,43	1421.3	39.4863270	73.5937820	4927.6
40	198.2	195.2	198.2	371,31,33,23	1417.1	39.4863260	73.5937830	4927.4
41	57.1	38.0	57.1	223,1023,34,48	1415.0	39.4863260	73.5937820	4927.6
42	78.1	59.1	78.1	1193,99,18,48	1414.6	39.4863280	73.5937820	4927.6
43	177.2	175.2	185.2	1821,675,30,26	1391.0	39.4863270	73.5937830	4927.5
44	174.2	170.2	182.2	1683,627,19,42	1390.1	39.4863280	73.5937840	4927.4
