ранг	ранг_в_группе	расстояние	сигнатура	d_ab	d_L	ловушка	d_ловушки	L	a	b	C	цвет_измерен	track	t_best	t0	t1	bbox	score	lat	lon	alt
1	1	1.651	стакан-марка-красная	12.2	18.0	порода-в-тени	0.425	31.8	-1.0	-1.0	1.4	bbox	0	5.0	5.0	7.0	1137,1041,26,39	2742.5	39.4861400	73.5856370	4439.8
2	2	1.295	палка-ручка-пробка	10.0	9.4	порода-охристая	1.114	66.3	11.0	15.0	18.6	bbox	1	11.0	11.0	11.0	27,496,20,22	1079.4	39.4861389	73.5856385	4439.9
3	3	1.581	палка-ручка-пробка	12.6	0.8	лишайник-жёлтый-на-камне	1.217	76.5	9.0	11.0	14.2	bbox	2	4.0	4.0	4.0	1901,47,19,17	1078.0	39.4861401	73.5856369	4439.8
4	4	1.780	стакан-марка-красная	13.3	17.5	снег-освещённый	0.559	67.3	-2.0	-2.0	2.8	bbox	3	3.0	1.0	4.0	212,593,17,28	923.5	39.4861403	73.5856368	4439.8
5	5	1.091	палка-ручка-пробка	8.6	5.1	лишайник-жёлтый-на-камне	1.024	70.6	10.0	16.0	18.9	bbox	4	4.0	1.0	4.0	341,1007,18,18	905.3	39.4861401	73.5856369	4439.8
6	6	1.614	стакан-марка-красная	12.4	12.9	снег-освещённый	0.692	62.7	-1.0	-2.0	2.2	bbox	5	2.0	1.0	4.0	179,354,14,33	832.6	39.4861406	73.5856367	4439.8
7	7	0.453	стакан-марка-красная	3.6	1.2	снег-розовый	1.268	51.0	8.0	-1.0	8.1	bbox	6	1.0	1.0	7.0	51,885,20,14	792.8	39.4861408	73.5856367	4439.8
8	8	0.838	стакан-марка-красная	4.0	18.8	снег-в-тени	1.625	31.0	11.0	-3.0	11.4	bbox	7	6.0	6.0	6.0	27,97,24,10	766.2	39.4861398	73.5856369	4439.8
9	9	1.399	стакан-марка-красная	11.0	6.3	снег-розовый	0.846	56.1	0.0	0.0	0.0	bbox	8	13.0	9.0	13.0	63,1049,18,20	736.3	39.4861384	73.5856385	4439.9
10	10	2.096	стакан-марка-красная	11.0	44.3	порода-в-тени	0.639	5.5	0.0	1.0	1.0	bbox	9	12.0	12.0	12.0	1027,921,14,32	690.3	39.4861384	73.5856386	4439.9
11	11	1.934	рюкзак-синий	13.9	23.6	снег-освещённый	0.768	62.4	-4.0	-1.0	4.1	bbox	10	9.0	9.0	9.0	955,976,12,30	680.0	39.4861394	73.5856379	4439.8
