track	t_best	t0	t1	bbox	score	lat	lon	alt
0	19.0	18.0	19.0	1833,0,87,207	6447.0			
1	34.0	27.0	38.0	1641,876,279,204	5757.1			
2	15.0	13.0	15.0	1831,1008,89,72	5272.0			
3	17.0	17.0	17.0	1889,0,31,65	4813.1			
4	1.0	1.0	2.0	87,833,58,154	3491.4			
5	75.0	75.0	76.0	1848,1008,72,72	3263.9			
6	3.0	0.0	3.0	0,953,47,88	3064.7			
7	78.0	77.0	78.0	1878,1033,42,47	2982.7			
8	70.0	70.0	71.0	1885,1042,35,38	2936.0			
9	4.0	3.0	5.0	1807,0,20,95	2827.6			
10	68.0	68.0	68.0	1840,988,80,92	2420.5			
11	11.0	6.0	11.0	1761,1025,77,55	1925.7			
12	97.0	97.0	99.0	1577,65,32,68	1634.1			
13	77.0	76.0	77.0	1828,1009,61,71	1621.9			
14	55.0	55.0	55.0	1901,0,19,57	1599.8			
15	79.0	79.0	79.0	1895,1056,25,24	1448.7			
16	94.0	94.0	97.0	1454,345,29,35	1359.0			
17	69.0	69.0	71.0	1896,1057,24,23	1330.7			
18	37.0	36.0	38.0	1751,863,28,62	1308.4			
19	96.0	96.0	97.0	1900,43,17,146	1299.3			
20	96.0	92.0	98.0	1529,0,36,105	1256.7			
21	99.0	96.0	99.0	1849,81,8,138	1166.3			
22	11.0	6.0	11.0	1841,988,53,43	1164.4			
23	19.0	19.0	19.0	1889,5,31,30	1103.3			
24	13.0	13.0	13.0	1865,947,37,26	1069.8			
25	1.0	1.0	1.0	0,1053,29,27	1037.6			
26	87.0	87.0	87.0	64,863,41,18	900.2			
27	0.0	0.0	2.0	0,931,29,29	865.5			
28	10.0	10.0	10.0	1751,1049,32,26	847.8			
29	25.0	20.0	32.0	1798,1000,37,28	804.6			
30	94.0	93.0	94.0	0,963,31,14	795.2			
31	2.0	2.0	2.0	99,1023,18,57	788.0			
32	13.0	13.0	13.0	1751,1045,32,25	744.2			
33	28.0	24.0	32.0	1881,1057,24,23	740.4			
34	25.0	25.0	25.0	1886,937,34,24	722.6			
35	19.0	19.0	19.0	1647,483,29,18	720.6			
36	13.0	13.0	13.0	811,887,16,20	667.5			
37	24.0	24.0	25.0	1767,1055,41,25	640.8			
38	14.0	14.0	14.0	617,1011,12,20	631.3			
39	30.0	30.0	30.0	1509,7,23,18	630.1			
40	95.0	95.0	95.0	1813,9,8,72	605.7			
41	14.0	14.0	14.0	1703,47,26,52	594.4			
42	10.0	10.0	11.0	1861,967,34,26	589.2			
43	8.0	8.0	8.0	1882,1063,15,17	573.5			
44	33.0	30.0	38.0	1727,1006,35,27	554.5			
45	26.0	20.0	35.0	1833,917,25,22	490.4			
46	9.0	7.0	9.0	1749,959,28,22	485.1			
47	97.0	97.0	97.0	1707,810,38,39	472.8			
48	2.0	2.0	2.0	71,905,14,35	457.0			
49	24.0	24.0	25.0	1830,1023,25,19	456.8			
50	12.0	11.0	12.0	948,993,13,15	456.3			
51	94.0	93.0	94.0	1723,34,6,39	450.8			
52	47.0	47.0	49.0	1327,277,12,20	443.4			
53	95.0	95.0	95.0	257,13,12,14	440.6			
54	31.0	31.0	35.0	1693,989,20,19	436.5			
55	24.0	21.0	25.0	1877,994,23,15	411.2			
56	38.0	29.0	38.0	1625,1025,8,32	405.6			
57	31.0	24.0	32.0	1649,1027,22,20	386.8			
58	95.0	95.0	95.0	1559,439,16,18	385.0			
59	92.0	92.0	92.0	5,971,21,14	381.6			
60	94.0	93.0	95.0	1345,279,24,10	373.2			
