clip	track	t_best	сигнатура	расстояние	bbox
saykal-C0020	151	201.0	стакан-марка-красная	0.711	1681,1009,28,24
saykal-C0020	153	81.0	палка-ручка-контроль	0.086	1893,1055,27,25
saykal-C0020	157	133.0	палка-ручка-контроль	0.561	1297,57,32,18
saykal-C0020	159	80.0	палка-ручка-контроль	0.807	497,409,10,36
saykal-C0020	200	0.0	стакан-марка-красная	0.944	1617,617,26,22
saykal-C0020	208	81.0	палка-ручка-контроль	0.329	1177,1065,32,15
saykal-C0020	251	201.0	стакан-марка-красная	0.692	1721,981,10,28
saykal-C0020	274	2.0	стакан-марка-красная	0.395	72,263,91,2
saykal-C0020	304	2.0	стакан-марка-красная	0.972	657,299,18,31
saykal-C0020	308	78.0	стакан-марка-красная	0.719	1161,31,32,15
saykal-C0020	764	101.0	стакан-марка-красная	0.744	71,243,8,14
saykal-C0020	788	100.0	стакан-марка-красная	0.448	1192,0,17,7
saykal-C0020	947	100.0	стакан-марка-красная	0.259	241,0,14,7
saykal-C0020	1037	104.0	палка-древко-контроль	0.764	919,105,12,8
saykal-C0020	1210	100.0	стакан-марка-красная	0.557	1305,0,18,5
saykal-C0020	1310	105.0	палка-древко-контроль	0.977	385,524,8,9
saykal-C0020	1365	104.0	палка-древко-контроль	0.930	509,603,4,6
saykal-C0020	1366	106.0	палка-древко-контроль	0.456	577,875,8,10
saykal-C0020	1379	104.0	палка-древко-контроль	0.699	871,229,14,4
saykal-C0020	1389	53.0	стакан-марка-красная	0.894	5,3,8,6
saykal-C0020	1432	106.0	палка-древко-контроль	0.707	235,519,10,9
saykal-C0020	1455	106.0	палка-древко-контроль	0.889	415,657,10,6
saykal-C0020	1513	99.0	стакан-марка-красная	0.526	586,0,5,9
saykal-C0020	1585	106.0	палка-древко-контроль	0.837	1371,159,6,4
saykal-C0020	1647	105.0	палка-древко-контроль	0.791	1273,11,8,4
saykal-C0020	1731	101.0	стакан-марка-красная	0.817	187,429,11,4
saykal-C0020	1905	84.0	стакан-марка-красная	0.523	267,27,6,6
saykal-C0020	1907	83.0	стакан-марка-красная	0.955	35,1031,4,4
saykal-C0020	1953	93.0	стакан-марка-красная	0.622	187,213,6,4
saykal-C0020	2003	93.0	стакан-марка-красная	0.700	497,145,4,4
saykal-C0020	2020	93.0	стакан-марка-красная	0.748	255,35,6,4
saykal-C0020	2038	84.0	стакан-марка-красная	0.570	189,277,4,6
saykal-C0020	2048	105.0	палка-древко-контроль	0.648	349,638,6,4
saykal-C0020	2280	80.0	палка-ручка-контроль	0.969	39,985,2,8
saykal-C0020	2503	100.0	стакан-марка-красная	0.940	1621,131,4,2
saykal-C0020	2535	100.0	стакан-марка-красная	0.283	280,0,2,3
saykal-C0021	168	23.0	стакан-марка-красная	0.685	1814,374,13,43
saykal-C0021	206	10.0	стакан-марка-красная	0.715	169,1019,32,39
saykal-C0021	212	16.0	стакан-марка-красная	0.885	625,245,38,10
saykal-C0021	213	16.0	стакан-марка-красная	0.793	75,922,28,33
saykal-C0021	225	12.0	стакан-марка-красная	0.691	1073,425,16,16
saykal-C0021	231	22.0	стакан-марка-красная	0.868	856,770,11,19
saykal-C0021	243	10.0	стакан-марка-красная	0.668	149,412,16,21
saykal-C0021	254	17.0	стакан-марка-красная	0.937	383,960,10,17
saykal-C0021	255	17.0	стакан-марка-красная	0.638	1679,385,10,14
saykal-C0021	264	10.0	стакан-марка-красная	0.680	269,921,11,14
saykal-C0021	278	17.0	стакан-марка-красная	0.987	438,925,11,8
