clip	track	t_best	сигнатура	расстояние	bbox
heli14-C0011	354	93.0	стакан-марка-красная	0.125	122,1011,3,5
heli14-C0011	367	91.0	стакан-марка-красная	0.824	203,1057,2,8
heli14-C0012	160	291.0	стакан-марка-красная	0.575	1431,223,48,14
heli14-C0012	170	289.0	стакан-марка-красная	0.874	261,85,19,30
heli14-C0012	183	291.0	стакан-марка-красная	0.796	1512,425,13,18
heli14-C0012	207	288.0	стакан-марка-красная	0.874	0,128,21,33
heli14-C0012	220	31.0	стакан-марка-красная	0.786	1819,801,19,12
heli14-C0012	242	31.0	стакан-марка-красная	0.801	1818,1009,13,18
heli14-C0012	274	303.0	стакан-марка-красная	0.633	183,105,14,12
saykal-C0002	176	30.0	палка-древко-контроль	0.975	507,89,6,6
saykal-C0004	178	292.0	стакан-марка-красная	0.793	1595,651,79,46
saykal-C0004	222	393.0	стакан-марка-красная	0.769	1523,363,33,70
saykal-C0004	284	291.0	стакан-марка-красная	0.751	1627,649,29,51
saykal-C0004	291	177.0	палка-древко-контроль	0.781	26,363,31,26
saykal-C0004	319	393.0	стакан-марка-красная	0.486	1546,255,29,24
saykal-C0004	347	164.0	палка-древко-контроль	0.570	22,307,40,22
saykal-C0004	422	393.0	стакан-марка-красная	0.729	475,685,22,66
saykal-C0004	423	171.0	палка-древко-контроль	0.615	137,39,56,16
saykal-C0004	431	323.0	стакан-марка-красная	0.911	536,183,41,42
saykal-C0004	449	392.0	стакан-марка-красная	0.633	905,353,85,8
saykal-C0004	451	136.0	палка-древко-контроль	0.886	0,822,21,21
saykal-C0004	452	245.0	палка-древко-контроль	0.891	59,651,16,20
saykal-C0004	477	255.0	палка-древко-контроль	0.763	1859,307,40,22
saykal-C0004	481	173.0	палка-древко-контроль	0.943	9,267,18,26
saykal-C0004	500	176.0	палка-древко-контроль	0.864	75,471,28,22
saykal-C0004	588	173.0	палка-древко-контроль	0.813	353,5,24,18
saykal-C0004	589	323.0	стакан-марка-красная	0.981	1177,289,42,24
saykal-C0004	612	250.0	стакан-марка-красная	0.952	467,1025,20,12
saykal-C0004	626	387.0	стакан-марка-красная	0.567	525,465,26,28
saykal-C0004	656	282.0	палка-древко-контроль	0.746	1701,243,18,15
saykal-C0004	682	171.0	палка-древко-контроль	0.519	203,0,38,9
saykal-C0004	688	285.0	стакан-марка-красная	0.805	1487,689,22,36
saykal-C0004	702	263.0	стакан-марка-красная	0.926	1853,0,40,21
saykal-C0004	720	176.0	палка-древко-контроль	0.751	309,583,18,16
saykal-C0004	786	176.0	палка-древко-контроль	0.965	403,129,14,16
saykal-C0004	796	406.0	стакан-марка-красная	0.597	579,19,33,17
saykal-C0004	828	177.0	палка-древко-контроль	0.852	265,502,16,15
saykal-C0004	849	245.0	палка-древко-контроль	0.549	79,161,16,16
saykal-C0004	882	253.0	стакан-марка-красная	0.775	1295,1047,14,12
saykal-C0004	885	410.0	стакан-марка-красная	0.866	1521,633,24,8
saykal-C0004	892	397.0	стакан-марка-красная	0.746	698,225,43,8
saykal-C0004	919	397.0	стакан-марка-красная	0.902	419,181,56,12
saykal-C0004	933	202.0	стакан-марка-красная	0.915	147,339,10,14
saykal-C0004	952	254.0	палка-древко-контроль	0.567	1867,401,10,20
saykal-C0004	992	251.0	палка-древко-контроль	0.364	917,451,13,12
saykal-C0004	1012	386.0	стакан-марка-красная	0.828	1067,13,24,12
saykal-C0004	1021	397.0	стакан-марка-красная	0.764	499,191,48,12
saykal-C0004	1031	168.0	палка-древко-контроль	0.796	185,233,16,10
saykal-C0004	1086	175.0	палка-древко-контроль	0.849	903,69,44,8
saykal-C0004	1087	394.0	стакан-марка-красная	0.717	1039,189,9,22
saykal-C0004	1089	81.0	палка-древко-контроль	0.329	91,147,12,12
saykal-C0004	1129	252.0	палка-древко-контроль	0.681	1089,205,14,8
saykal-C0004	1164	170.0	палка-древко-контроль	0.821	0,175,23,10
saykal-C0004	1180	175.0	стакан-марка-красная	0.655	59,893,14,8
saykal-C0004	1185	169.0	стакан-марка-красная	0.636	81,71,12,8
saykal-C0004	1209	170.0	палка-древко-контроль	0.734	315,241,10,12
saykal-C0004	1251	170.0	палка-древко-контроль	0.434	55,41,18,8
saykal-C0004	1271	292.0	стакан-марка-красная	0.916	1543,491,16,10
saykal-C0004	1280	81.0	палка-древко-контроль	0.592	749,319,6,14
saykal-C0004	1285	247.0	палка-древко-контроль	0.507	423,937,14,8
saykal-C0004	1326	180.0	палка-древко-контроль	0.926	457,191,6,12
saykal-C0004	1333	161.0	палка-древко-контроль	0.985	16,233,7,12
saykal-C0004	1341	247.0	палка-древко-контроль	0.509	221,111,16,12
saykal-C0004	1351	385.0	стакан-марка-красная	0.699	465,435,15,23
saykal-C0004	1412	328.0	палка-древко-контроль	0.763	15,0,18,7
saykal-C0004	1420	176.0	палка-древко-контроль	0.903	270,473,11,12
saykal-C0004	1439	219.0	палка-древко-контроль	0.751	629,287,6,14
saykal-C0004	1447	342.0	палка-древко-контроль	0.809	0,0,13,7
saykal-C0004	1500	267.0	палка-древко-контроль	0.498	967,41,19,6
saykal-C0004	1554	397.0	стакан-марка-красная	0.708	579,205,22,7
saykal-C0004	1571	396.0	стакан-марка-красная	0.503	721,33,12,8
saykal-C0004	1617	392.0	стакан-марка-красная	0.435	815,317,20,4
saykal-C0004	1632	230.0	палка-древко-контроль	0.915	463,273,6,12
saykal-C0004	1682	256.0	палка-древко-контроль	0.890	1759,700,10,13
saykal-C0004	1684	294.0	палка-древко-контроль	0.928	1677,358,12,12
saykal-C0004	1728	178.0	палка-древко-контроль	0.846	434,9,7,11
saykal-C0004	1793	328.0	палка-древко-контроль	0.731	79,0,14,7
saykal-C0004	1801	178.0	палка-древко-контроль	0.480	703,249,6,10
saykal-C0004	1814	179.0	палка-древко-контроль	0.500	738,351,7,10
