ранг	ранг_в_группе	расстояние	сигнатура	d_ab	d_L	ловушка	d_ловушки	L	a	b	C	цвет_измерен	track	t_best	t0	t1	bbox	score	lat	lon	alt
1	1	1.034	стакан-марка-красная	7.3	13.7	снег-розовый	0.675	63.5	4.0	-1.0	4.1	bbox	0	96.0	96.0	96.0	1345,42,200,139	34586.4			
2	2	1.805	стакан-марка-красная	11.0	32.6	снег-освещённый	0.137	82.4	0.0	0.0	0.0	bbox	1	94.0	94.0	95.0	0,109,612,201	19013.5			
3	3	0.786	стакан-марка-красная	3.6	18.0	порода-охристая	1.391	67.8	13.0	4.0	13.6	bbox	2	115.0	107.0	120.0	0,541,194,539	12527.3			
4	4	4.694	предмет-оранжевый	37.5	3.9	порода-охристая	4.698	60.4	48.0	9.0	48.8	bbox	3	96.0	96.0	96.0	1622,145,125,60	10956.5			
5	5	0.500	стакан-марка-красная	4.0	0.4	порода-охристая	0.860	50.2	11.0	5.0	12.1	bbox	4	120.0	114.0	120.0	0,817,69,263	10298.2			
6	6	0.430	рюкзак-синий	2.0	9.8	снег-в-тени	0.846	29.0	1.0	-12.0	12.0	bbox	5	29.0	23.0	33.0	1861,919,59,120	10084.5			
7	7	1.011	рюкзак-синий	7.1	13.7	снег-в-тени	0.211	52.5	0.0	-7.0	7.0	bbox	6	100.0	100.0	100.0	731,301,97,78	9691.0			
8	8	0.771	рюкзак-синий	6.1	3.6	снег-в-тени	0.195	42.4	0.0	-8.0	8.0	bbox	7	131.0	131.0	131.0	1826,605,94,475	8709.3			
9	9	0.518	рюкзак-синий	2.8	10.6	снег-в-тени	0.519	49.4	-1.0	-12.0	12.0	bbox	8	10.0	9.0	18.0	0,0,73,77	8263.9			
10	10	0.761	рюкзак-синий	6.1	1.2	снег-в-тени	1.563	37.6	2.0	-20.0	20.1	bbox	9	111.0	111.0	111.0	0,767,187,313	8217.1			
11	11	0.566	стакан-марка-красная	4.0	7.5	порода-охристая	1.008	57.3	11.0	5.0	12.1	bbox	10	119.0	113.0	120.0	0,807,71,273	7676.3			
12	12	1.748	стакан-марка-красная	11.2	29.4	порода-в-тени	0.250	20.4	0.0	-1.0	1.0	bbox	11	129.0	129.0	129.0	1653,857,267,134	7258.6			
13	13	0.820	рюкзак-синий	5.0	14.9	снег-в-тени	0.871	23.9	1.0	-9.0	9.1	bbox	12	17.0	14.0	17.0	1866,889,54,106	6514.4			
14	14	1.690	рюкзак-синий	12.0	21.5	порода-в-тени	0.301	17.3	0.0	-2.0	2.0	bbox	13	67.0	67.0	68.0	1705,941,90,139	6313.6			
15	15	1.788	рюкзак-синий	12.0	27.0	порода-в-тени	0.416	11.8	0.0	-2.0	2.0	bbox	14	88.0	88.0	92.0	1815,121,84,208	6302.6			
16	16	1.465	рюкзак-синий	11.0	13.7	порода-в-тени	0.391	25.1	0.0	-3.0	3.0	bbox	15	16.0	14.0	18.0	1781,775,128,184	5769.2			
17	17	0.763	рюкзак-синий	5.1	11.7	снег-в-тени	0.792	27.1	2.0	-9.0	9.2	bbox	16	21.0	15.0	22.0	1832,891,47,82	5761.0			
