track	t_best	t0	t1	bbox	score	lat	lon	alt
0	100.0	100.0	100.0	0,38,149,449	62157.8			
1	91.0	91.0	91.0	59,403,36,677	18636.4			
2	5.0	5.0	7.0	0,0,153,635	14257.1			
3	100.0	100.0	100.0	218,827,92,253	12595.8			
4	6.0	6.0	7.0	379,183,142,526	9380.2			
5	71.0	66.0	71.0	0,963,65,81	9219.4			
6	33.0	33.0	33.0	1683,299,36,432	9007.2			
7	7.0	7.0	8.0	393,0,168,299	8856.2			
8	100.0	100.0	100.0	365,13,67,84	8785.7			
9	63.0	63.0	68.0	0,865,131,215	7310.7			
10	39.0	39.0	39.0	1891,697,29,383	7235.7			
11	101.0	100.0	102.0	474,837,53,112	6409.3			
12	101.0	101.0	101.0	59,797,58,38	6404.3			
13	65.0	65.0	65.0	23,769,84,227	6323.9			
14	21.0	21.0	21.0	0,0,113,181	6090.4			
15	34.0	34.0	34.0	1745,662,28,287	5696.2			
16	91.0	91.0	91.0	33,199,38,198	5633.2			
17	21.0	19.0	21.0	0,725,76,355	5072.4			
18	101.0	101.0	101.0	647,97,50,52	5056.3			
19	20.0	20.0	21.0	0,0,65,69	4626.0			
20	102.0	102.0	102.0	301,637,106,206	4383.7			
21	100.0	100.0	100.0	45,835,48,30	4351.0			
22	71.0	70.0	71.0	105,682,88,177	4215.5			
23	20.0	20.0	21.0	1685,0,235,65	4193.3			
24	22.0	22.0	22.0	0,0,27,73	4113.2			
25	6.0	6.0	6.0	119,259,136,98	3971.8			
26	66.0	66.0	66.0	36,232,19,283	3964.3			
27	7.0	7.0	7.0	75,275,304,84	3749.2			
28	70.0	66.0	71.0	91,575,76,170	3737.8			
29	6.0	6.0	7.0	161,709,218,371	3736.3			
30	54.0	54.0	55.0	1829,1057,86,23	3636.5			
31	19.0	19.0	19.0	249,133,194,36	3495.1			
32	101.0	101.0	101.0	599,35,60,27	3485.9			
33	101.0	101.0	102.0	251,205,38,28	3309.1			
34	100.0	100.0	100.0	243,235,36,30	3208.0			
35	102.0	101.0	102.0	839,213,222,108	3178.1			
36	6.0	6.0	6.0	257,113,48,108	3016.6			
37	6.0	6.0	6.0	93,0,26,229	2992.1			
38	101.0	101.0	101.0	896,46,47,33	2934.2			
39	102.0	102.0	102.0	41,213,46,106	2653.8			
40	101.0	101.0	101.0	217,37,36,51	2500.8			
41	21.0	19.0	21.0	1700,104,220,68	2490.8			
42	65.0	65.0	67.0	107,1002,41,78	2477.0			
43	64.0	64.0	64.0	1359,993,14,87	2418.4			
44	101.0	101.0	101.0	817,62,40,45	2397.4			
45	101.0	101.0	101.0	779,181,34,26	2228.6			
46	101.0	101.0	101.0	523,43,38,26	2215.0			
47	91.0	91.0	91.0	8,129,33,65	2184.2			
48	102.0	101.0	102.0	691,321,142,86	2170.1			
49	63.0	63.0	65.0	0,189,31,26	2168.1			
50	18.0	18.0	18.0	1755,65,12,84	2165.6			
51	100.0	100.0	100.0	463,117,32,42	2031.4			
52	11.0	7.0	14.0	1631,525,22,120	2005.7			
53	66.0	66.0	66.0	19,0,50,39	1994.8			
54	79.0	79.0	80.0	597,67,102,42	1923.4			
55	55.0	55.0	58.0	1885,9,18,46	1905.5			
56	101.0	101.0	101.0	15,227,28,32	1821.2			
57	69.0	69.0	70.0	205,769,38,90	1747.6			
58	81.0	81.0	82.0	1073,7,111,38	1678.5			
59	24.0	24.0	24.0	0,1029,25,51	1672.3			
60	100.0	100.0	101.0	568,71,25,28	1672.2			
61	91.0	91.0	91.0	315,0,30,17	1636.7			
62	23.0	23.0	23.0	1541,170,18,55	1577.2			
63	66.0	66.0	66.0	17,49,20,122	1532.2			
64	100.0	100.0	100.0	433,125,20,22	1509.7			
65	99.0	99.0	99.0	1433,1033,26,24	1488.0			
66	2.0	2.0	2.0	0,491,23,30	1480.3			
67	6.0	6.0	6.0	456,79,35,60	1438.6			
68	74.0	74.0	74.0	1799,127,32,46	1431.0			
69	7.0	6.0	7.0	133,541,20,171	1346.5			
70	100.0	100.0	100.0	493,83,21,26	1343.7			
71	3.0	3.0	6.0	29,477,20,26	1316.0			
72	101.0	100.0	101.0	593,185,26,32	1287.7			
73	31.0	31.0	34.0	783,153,30,26	1270.9			
74	101.0	101.0	101.0	845,145,16,30	1261.2			
75	22.0	22.0	23.0	7,393,14,124	1260.1			
76	76.0	76.0	76.0	1841,1007,24,40	1239.2			
77	11.0	11.0	11.0	1681,629,14,78	1227.4			
78	69.0	69.0	69.0	177,689,24,64	1225.7			
79	55.0	53.0	55.0	1867,113,14,112	1221.4			
80	91.0	91.0	91.0	87,25,82,32	1200.7			
81	68.0	68.0	68.0	39,731,52,38	1193.1			
82	19.0	19.0	23.0	52,139,77,14	1169.3			
83	95.0	95.0	95.0	0,9,25,24	1148.7			
84	5.0	5.0	5.0	214,119,69,37	1130.6			
85	30.0	30.0	30.0	611,314,26,23	1127.5			
86	102.0	102.0	102.0	54,325,15,36	1118.1			
87	69.0	66.0	70.0	57,131,64,54	1111.4			
88	22.0	22.0	22.0	164,0,47,61	1108.1			
89	11.0	11.0	12.0	644,487,39,33	1099.7			
90	63.0	61.0	63.0	1367,1035,9,45	1087.4			
91	22.0	21.0	22.0	1819,275,86,27	1080.3			
92	21.0	20.0	21.0	141,462,102,11	1067.9			
93	6.0	6.0	7.0	477,27,16,36	1056.7			
94	34.0	34.0	34.0	1765,471,7,102	1046.4			
95	102.0	102.0	102.0	423,503,28,18	1034.7			
96	23.0	23.0	23.0	1545,108,12,58	1026.0			
97	92.0	91.0	92.0	1113,37,80,26	1018.1			
98	79.0	77.0	79.0	1310,0,31,9	1015.7			
99	75.0	75.0	75.0	1835,857,22,45	1014.5			
100	68.0	68.0	68.0	0,1027,25,29	999.0			
101	60.0	59.0	64.0	1169,335,10,65	990.2			
102	101.0	101.0	102.0	201,159,20,27	983.7			
103	36.0	35.0	36.0	854,219,42,17	972.5			
104	31.0	30.0	31.0	1745,731,16,22	972.0			
