video	t	drone_lat	drone_lon	drone_alt	hit_lat	hit_lon	hit_alt	dist_m	gb_yaw	gb_pitch	f_px	file
DJI_20260813163855_0001_Z	0.0	39.484285	73.585242	4675	39.483474	73.585323	4552	153	175.6	-53.7	7416.0	DJI_20260813163855_0001_Z_t0000.jpg
DJI_20260813163855_0001_Z	7.3	39.484286	73.585244	4675	39.483587	73.585314	4541	155	175.6	-59.8	7845.0	DJI_20260813163855_0001_Z_t0007.jpg
DJI_20260813163855_0001_Z	25.7	39.484288	73.585246	4675	39.483483	73.585308	4550	153	176.6	-54.3	7498.0	DJI_20260813163855_0001_Z_t0025.jpg
DJI_20260813163855_0001_Z	30.3	39.484289	73.585246	4675	39.483447	73.585303	4553	153	177.0	-52.4	10820.0	DJI_20260813163855_0001_Z_t0030.jpg
DJI_20260813163855_0001_Z	36.3	39.484303	73.585190	4675	39.483446	73.585248	4551	156	177.0	-52.4	13712.0	DJI_20260813163855_0001_Z_t0036.jpg
DJI_20260813163855_0001_Z	37.7	39.484326	73.585081	4675	39.483458	73.585218	4549	159	173.0	-52.4	13873.0	DJI_20260813163855_0001_Z_t0037.jpg
DJI_20260813163855_0001_Z	40.0	39.484344	73.584934	4675	39.483476	73.585193	4546	162	167.0	-52.4	13873.0	DJI_20260813163855_0001_Z_t0040.jpg
DJI_20260813163855_0001_Z	40.7	39.484349	73.584854	4675	39.483480	73.585228	4547	163	161.6	-51.4	13873.0	DJI_20260813163855_0001_Z_t0040.jpg
DJI_20260813163855_0001_Z	43.3	39.484348	73.584687	4674	39.483474	73.585129	4543	167	158.6	-51.4	13873.0	DJI_20260813163855_0001_Z_t0043.jpg
DJI_20260813163855_0001_Z	45.3	39.484342	73.584517	4674	39.483315	73.585061	4552	173	157.7	-44.5	13792.0	DJI_20260813163855_0001_Z_t0045.jpg
DJI_20260813163855_0001_Z	46.7	39.484335	73.584354	4673	39.483262	73.584923	4550	178	157.7	-43.6	13873.0	DJI_20260813163855_0001_Z_t0046.jpg
DJI_20260813163855_0001_Z	49.0	39.484329	73.584202	4673	39.483248	73.584807	4548	181	156.6	-43.6	13873.0	DJI_20260813163855_0001_Z_t0049.jpg
DJI_20260813163855_0001_Z	51.3	39.484320	73.584087	4673	39.483106	73.584843	4558	189	154.3	-37.5	10997.0	DJI_20260813163855_0001_Z_t0051.jpg
DJI_20260813163855_0001_Z	52.7	39.484314	73.584023	4673	39.483135	73.584891	4557	190	150.4	-37.5	10997.0	DJI_20260813163855_0001_Z_t0052.jpg
DJI_20260813163855_0001_Z	55.3	39.484314	73.584020	4673	39.482939	73.585179	4579	205	146.9	-27.4	10997.0	DJI_20260813163855_0001_Z_t0055.jpg
DJI_20260813163855_0001_Z	62.3	39.484314	73.584022	4673	39.483072	73.585202	4573	198	143.7	-30.3	8826.0	DJI_20260813163855_0001_Z_t0062.jpg
DJI_20260813163855_0001_Z	75.3	39.484312	73.584023	4673	39.483179	73.585100	4562	192	143.7	-35.4	7987.0	DJI_20260813163855_0001_Z_t0075.jpg
DJI_20260813163855_0001_Z	79.3	39.484312	73.584023	4673	39.483319	73.585208	4560	188	137.3	-37.1	7148.0	DJI_20260813163855_0001_Z_t0079.jpg
DJI_20260813163855_0001_Z	126.3	39.484154	73.584074	4666	39.483278	73.585201	4561	173	135.2	-37.4		DJI_20260813163855_0001_Z_t0126.jpg
DJI_20260813163855_0001_Z	132.0	39.484007	73.584133	4653	39.483268	73.585173	4561	153	132.6	-37.4		DJI_20260813163855_0001_Z_t0132.jpg
DJI_20260813163855_0001_Z	134.3	39.483960	73.584155	4649	39.483278	73.585177	4560	146	130.8	-37.4	2027.0	DJI_20260813163855_0001_Z_t0134.jpg
DJI_20260813163855_0001_Z	143.3	39.483758	73.584248	4629	39.483264	73.585119	4558	117	126.3	-37.4		DJI_20260813163855_0001_Z_t0143.jpg
DJI_20260813163855_0001_Z	147.0	39.483672	73.584298	4621	39.483257	73.585097	4557	104	123.9	-37.4		DJI_20260813163855_0001_Z_t0147.jpg
DJI_20260813163855_0001_Z	150.7	39.483583	73.584363	4612	39.483250	73.585084	4557	91	120.9	-37.4		DJI_20260813163855_0001_Z_t0150.jpg
DJI_20260813163855_0001_Z	177.3	39.483533	73.584408	4610	39.483372	73.585094	4550	86	106.9	-44.5	7720.0	DJI_20260813163855_0001_Z_t0177.jpg
DJI_20260813163855_0001_Z	179.3	39.483534	73.584407	4610	39.483412	73.585183	4551	90	101.5	-41.2	7493.0	DJI_20260813163855_0001_Z_t0179.jpg
DJI_20260813163855_0001_Z	181.0	39.483534	73.584408	4610	39.483467	73.585406	4555	102	95.0	-32.7	7493.0	DJI_20260813163855_0001_Z_t0181.jpg
DJI_20260813163855_0001_Z	187.3	39.483535	73.584406	4610	39.483196	73.585201	4566	90	118.9	-29.8	7493.0	DJI_20260813163855_0001_Z_t0187.jpg
DJI_20260813163855_0001_Z	187.7	39.483535	73.584406	4610	39.483343	73.585332	4563	95	105.1	-29.8	7493.0	DJI_20260813163855_0001_Z_t0187.jpg
DJI_20260813163855_0001_Z	189.3	39.483535	73.584406	4610	39.483517	73.585527	4555	111	91.2	-29.8	7493.0	DJI_20260813163855_0001_Z_t0189.jpg
DJI_20260813163855_0001_Z	190.0	39.483536	73.584406	4610	39.483647	73.585639	4549	123	83.3	-29.8	7518.0	DJI_20260813163855_0001_Z_t0190.jpg
DJI_20260813163855_0001_Z	192.3	39.483536	73.584406	4610	39.483747	73.585929	4556	144	79.8	-22.2	7720.0	DJI_20260813163855_0001_Z_t0192.jpg
DJI_20260813163855_0001_Z	195.3	39.483535	73.584406	4611	39.483778	73.586153	4567	159	79.8	-15.9	7720.0	DJI_20260813163855_0001_Z_t0195.jpg
DJI_20260813163855_0001_Z	196.3	39.483535	73.584406	4611	39.483809	73.586378	4579	175	79.8	-10.4	7854.0	DJI_20260813163855_0001_Z_t0196.jpg
DJI_20260813163855_0001_Z	199.7	39.483535	73.584406	4611	39.483434	73.586139	4592	150	94.3	-7.0	7082.0	DJI_20260813163855_0001_Z_t0199.jpg
DJI_20260813163855_0001_Z	203.3	39.483535	73.584406	4611	39.483384	73.586297	4608	163	95.9	-0.9	6645.0	DJI_20260813163855_0001_Z_t0203.jpg
DJI_20260813163855_0001_Z	209.0	39.483534	73.584406	4611	39.483247	73.586164	4606	154	101.9	-1.7	6537.0	DJI_20260813163855_0001_Z_t0209.jpg
DJI_20260813163855_0001_Z	210.3	39.483533	73.584407	4610	39.483238	73.586114	4603	151	102.6	-3.0	4216.0	DJI_20260813163855_0001_Z_t0210.jpg
DJI_20260813163855_0001_Z	222.0	39.483534	73.584406	4611	39.483269	73.586153	4604	153	101.1	-2.4	3244.0	DJI_20260813163855_0001_Z_t0222.jpg
DJI_20260813163855_0001_Z	237.7	39.483533	73.584407	4610	39.482948	73.586330	4629	179	111.5	6.0	3730.0	DJI_20260813163855_0001_Z_t0237.jpg
DJI_20260813163855_0001_Z	243.7	39.483533	73.584408	4610	39.482903	73.586477	4640	193	111.5	8.8	4588.0	DJI_20260813163855_0001_Z_t0243.jpg
DJI_20260813163855_0001_Z	248.3	39.483534	73.584408	4610	39.482885	73.586538	4644	200	111.5	9.8	6301.0	DJI_20260813163855_0001_Z_t0248.jpg
DJI_20260813163855_0001_Z	249.7	39.483534	73.584408	4610	39.482871	73.586587	4648	205	111.5	10.6	7642.0	DJI_20260813163855_0001_Z_t0249.jpg
DJI_20260813163855_0001_Z	264.0	39.483536	73.584406	4610	39.482967	73.586314	4628	177	111.1	5.6	6301.0	DJI_20260813163855_0001_Z_t0264.jpg
DJI_20260813163855_0001_Z	265.7	39.483536	73.584406	4611	39.482965	73.586320	4628	177	111.1	5.7	4960.0	DJI_20260813163855_0001_Z_t0265.jpg
DJI_20260813163855_0001_Z	269.7	39.483536	73.584405	4610	39.482962	73.586339	4630	179	111.0	6.1	4005.0	DJI_20260813163855_0001_Z_t0269.jpg
DJI_20260813163855_0001_Z	275.0	39.483535	73.584407	4611	39.482959	73.586350	4630	180	111.0	6.3		DJI_20260813163855_0001_Z_t0275.jpg
DJI_20260813163855_0001_Z	280.7	39.483503	73.584645	4611	39.483008	73.586324	4628	155	110.9	6.3		DJI_20260813163855_0001_Z_t0280.jpg
DJI_20260813163855_0001_Z	283.7	39.483472	73.584878	4611	39.483053	73.586300	4625	132	110.9	6.3	6466.0	DJI_20260813163855_0001_Z_t0283.jpg
DJI_20260813163855_0001_Z	286.3	39.483451	73.585037	4611	39.483079	73.586292	4623	116	111.0	6.3	6466.0	DJI_20260813163855_0001_Z_t0286.jpg
DJI_20260813163855_0001_Z	288.3	39.483431	73.585191	4611	39.483106	73.586287	4622	101	111.0	6.3	6466.0	DJI_20260813163855_0001_Z_t0288.jpg
