video	t	drone_lat	drone_lon	drone_alt	hit_lat	hit_lon	hit_alt	dist_m	gb_yaw	gb_pitch	f_px	file
DJI_20260813163855_0001_Z	0.0	39.484285	73.585242	4675	39.483474	73.585323	4552	153	175.6	-53.7	7416.0	DJI_20260813163855_0001_Z_t0000.jpg
DJI_20260813163855_0001_Z	30.3	39.484289	73.585246	4675	39.483447	73.585303	4553	153	177.0	-52.4	10820.0	DJI_20260813163855_0001_Z_t0030.jpg
DJI_20260813163855_0001_Z	36.3	39.484303	73.585190	4675	39.483446	73.585248	4551	156	177.0	-52.4	13712.0	DJI_20260813163855_0001_Z_t0036.jpg
DJI_20260813163855_0001_Z	37.7	39.484326	73.585081	4675	39.483458	73.585218	4549	159	173.0	-52.4	13873.0	DJI_20260813163855_0001_Z_t0037.jpg
DJI_20260813163855_0001_Z	40.0	39.484344	73.584934	4675	39.483476	73.585193	4546	162	167.0	-52.4	13873.0	DJI_20260813163855_0001_Z_t0040.jpg
DJI_20260813163855_0001_Z	42.3	39.484349	73.584771	4674	39.483477	73.585178	4545	165	160.1	-51.4	13873.0	DJI_20260813163855_0001_Z_t0042.jpg
DJI_20260813163855_0001_Z	43.7	39.484345	73.584601	4674	39.483464	73.585068	4541	170	157.7	-51.4	13792.0	DJI_20260813163855_0001_Z_t0043.jpg
DJI_20260813163855_0001_Z	46.3	39.484338	73.584435	4673	39.483274	73.585000	4552	176	157.7	-43.6	13873.0	DJI_20260813163855_0001_Z_t0046.jpg
DJI_20260813163855_0001_Z	48.3	39.484332	73.584276	4673	39.483250	73.584850	4549	180	157.7	-43.6	13873.0	DJI_20260813163855_0001_Z_t0048.jpg
DJI_20260813163855_0001_Z	50.0	39.484325	73.584138	4673	39.483257	73.584802	4548	182	154.3	-43.6	13873.0	DJI_20260813163855_0001_Z_t0050.jpg
DJI_20260813163855_0001_Z	51.3	39.484320	73.584087	4673	39.483106	73.584843	4558	189	154.3	-37.5	10997.0	DJI_20260813163855_0001_Z_t0051.jpg
DJI_20260813163855_0001_Z	62.3	39.484314	73.584022	4673	39.483072	73.585202	4573	198	143.7	-30.3	8826.0	DJI_20260813163855_0001_Z_t0062.jpg
