# Суточный снег (см) и осадки (мм) для Camp2 39.476N 73.592E elevation=5529, Open-Meteo, запрошено 2026-08-27
# archive_mix = archive-api без models: ERA5 до 12.08, далее ECMWF IFS 9 км; остальные — historical-forecast-api (архив оперативных прогнозов)
date	archive_mix_snow_cm	archive_mix_prec_mm	ecmwf_ifs025_snow_cm	ecmwf_ifs025_prec_mm	gfs_seamless_snow_cm	gfs_seamless_prec_mm	icon_seamless_snow_cm	icon_seamless_prec_mm	jma_seamless_snow_cm	jma_seamless_prec_mm	meteofrance_seamless_snow_cm	meteofrance_seamless_prec_mm	ukmo_seamless_snow_cm	ukmo_seamless_prec_mm
2026-08-01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63	0.9
2026-08-02	0.0	0.2	0.0	0.1	0.28	2.5	0.0	8.5	0.0	0.0	0.0	0.4	4.27	11.9
2026-08-03	1.89	6.5	0.84	8.0	2.17	5.2	0.0	11.9	0.0	1.0	0.42	6.5	16.38	23.4
2026-08-04	9.03	13.3	4.41	10.4	7.91	12.2	0.63	15.2	15.75	22.5	4.2	6.2	11.62	16.6
2026-08-05	0.91	1.3	0.84	1.3	1.89	5.1	0.77	8.3	2.59	3.7	0.07	0.1	1.54	2.2
2026-08-06	0.28	0.4	0.42	0.7	2.45	4.6	0.0	2.0	6.3	9.0	0.07	0.2	5.04	7.2
2026-08-07	0.63	0.9	1.47	2.4	2.1	9.4	0.0	0.6	3.78	5.4	0.0	0.0	1.61	2.3
2026-08-08	0.21	0.3	0.63	1.4	0.21	5.0	0.0	0.0	0.7	1.0	0.0	0.0	5.04	7.2
2026-08-09	0.63	1.2	0.42	2.8	2.1	11.7	0.0	6.1	0.28	0.4	0.0	0.0	5.53	7.9
2026-08-10	1.4	2.5	0.91	3.5	1.96	5.0	0.07	3.5	0.7	1.1	0.0	0.1	6.16	8.8
2026-08-11	2.8	4.5	1.4	5.6	5.18	11.4	0.0	2.4	0.35	0.5	0.0	0.0	0.91	1.3
2026-08-12	2.03	3.4	1.33	6.0	4.27	9.1	0.0	1.3	0.42	0.6	0.0	0.6	9.1	13.0
2026-08-13	0.0	0.4	0.0	0.7	1.54	3.5	0.0	0.0	0.21	0.3	0.0	0.0	4.62	6.6
2026-08-14	0.42	0.6	0.21	0.7	1.19	2.3	0.42	5.2	0.07	0.1	0.07	0.1	4.13	5.9
2026-08-15	0.0	0.0	0.0	0.0	0.0	0.0	1.4	2.9	0.07	0.1	0.0	0.0	0.0	0.0
2026-08-16	0.0	0.0	0.0	0.2	0.42	0.9	0.0	0.2	0.21	0.3	0.0	0.0	1.26	1.8
2026-08-17	0.14	0.6	0.0	0.7	1.26	4.0	0.0	2.6	0.0	0.1	0.07	0.1	6.72	9.6
2026-08-18	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.3	0.0	0.0	0.0	0.0	0.49	0.7
2026-08-19	0.0	0.1	0.0	0.2	0.07	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.3
2026-08-20	0.07	0.1	0.07	0.3	0.35	1.1	2.03	5.2	0.0	0.0	0.0	0.0	0.0	0.0
2026-08-21	0.77	1.1	0.84	1.4	6.3	9.3	10.57	20.9	0.42	0.6	0.21	0.3	3.43	4.9
2026-08-22	4.27	6.1	5.18	7.4	7.98	11.6	4.2	14.3	1.96	2.8	1.96	2.8	12.25	17.5
2026-08-23	2.87	4.0	4.48	6.4	2.17	3.1	5.18	10.1	6.93	9.9	3.92	5.6	2.8	4.0
2026-08-24	0.0	0.0	0.07	0.1	0.07	1.3	0.0	1.7	0.35	0.5	0.0	0.0	0.0	0.0
2026-08-25	0.0	0.0	0.21	0.3	0.35	2.1	2.94	8.3	0.07	0.1	0.0	0.0	1.12	1.6
2026-08-26	0.0	0.0	0.07	0.1	0.63	2.4	1.75	3.8	0.0	0.0	0.21	0.3	0.0	0.0
2026-08-27	0.0	0.0	0.28	0.4	0.28	0.6	0.0	2.0	0.0	0.2	0.0	0.0	0.0	0.0
